path_id,surplus_gt50,ordinary_shortage_first_hour,first_shortage_relative_hour,shortage_total_kg,system_begin_inventory_at_first_shortage_kg,system_end_inventory_at_first_shortage_kg,first_shortage_sites_begin_inventory_sum_kg,final_target_kg,inventory_growth_after_first_shortage_kg,final_inventory_kg,final_surplus_kg,production_during_shortage_hours_kg,mean_electrolyzer_utilization_during_shortage,HTT_during_shortage_hours_kg,HTT_after_first_shortage_kg,production_after_first_shortage_kg,actual_operating_cost_yuan,mechanism_statement
9,True,25,-7,22.4004734629,251.186343625,265.692560022,146.468137891,0,89.0033289286,354.69588895,354.69588895,120.12,1,36.9937698849,10.0273521717,105.105,69879.3255706,CO_OCCURRENCE_TRADEOFF_SIGNAL_ONLY
27,True,25,-15,35.911993069,371.306343625,384.881618925,73.2235808462,346.859686167,164.072783701,548.954402626,202.094716459,240.24,1,60.8920668543,27.2568302684,225.225,102198.685947,CO_OCCURRENCE_TRADEOFF_SIGNAL_ONLY
28,True,17,-15,46.5918680524,302.134475204,317.149475204,302.134475204,316.940731494,181.857808336,499.00728354,182.066552046,174.727934353,0.969741005399,19.0337103347,51.9386574435,219.772934353,81432.5568191,CO_OCCURRENCE_TRADEOFF_SIGNAL_ONLY
29,True,17,-15,72.4280110158,302.134475204,317.149475204,302.134475204,386.76593055,207.693951299,524.843426503,138.077495953,234.787934353,0.977305754049,97.0973544938,60.1603335826,219.772934353,86259.4178913,CO_OCCURRENCE_TRADEOFF_SIGNAL_ONLY
77,True,33,-7,52.2475319066,448.53188923,459.22732254,234.570836382,332.579156112,102.179092665,561.406415205,228.827259093,120.12,1,36.3395044007,8.18180868536,105.105,105843.527732,CO_OCCURRENCE_TRADEOFF_SIGNAL_ONLY
91,True,17,-15,56.6988089771,302.134475204,310.161312068,114.332437884,316.940731494,198.952912396,509.114224464,192.17349297,234.787934353,0.977305754049,73.9074878817,47.7718092858,219.772934353,82598.3363133,CO_OCCURRENCE_TRADEOFF_SIGNAL_ONLY
107,True,17,-7,45.4960659317,188.084209615,203.099209615,188.084209615,156.407515605,99.6529343528,302.752143968,146.344628363,114.667934353,0.954611508098,43.6655497257,4.43900774522,99.6529343528,64634.5004944,CO_OCCURRENCE_TRADEOFF_SIGNAL_ONLY
116,True,25,-7,24.7070263906,251.186343625,264.959843522,52.7638909332,58.1956878969,92.0425983561,357.002441878,298.806753981,120.12,1,17.3912966486,0,105.105,70308.612187,CO_OCCURRENCE_TRADEOFF_SIGNAL_ONLY
193,True,25,-15,35.911993069,371.306343625,385.291092961,143.444557045,161.875234945,163.663309665,548.954402626,387.079167681,225.225,1,78.8526923761,13.224507177,225.225,102825.141442,CO_OCCURRENCE_TRADEOFF_SIGNAL_ONLY
295,False,17,-15,17.6878808395,302.134475204,310.161312068,114.332437884,423.861526765,159.941984259,470.103296327,46.2417695616,114.667934353,0.954611508098,20.2828788078,20.4285739432,219.772934353,73743.4877613,CO_OCCURRENCE_TRADEOFF_SIGNAL_ONLY
