group,N,mean_production_cost_yuan,mean_electricity_cost_yuan,mean_production_om_cost_yuan,mean_HTT_cost_yuan,mean_ordinary_shortage_cost_yuan,mean_other_actual_operating_cost_yuan,mean_total_actual_operating_cost_yuan,mean_terminal_gap_model_penalty_yuan,terminal_penalty_label,component_closure_max_abs_residual_yuan
all_10000,10000,55555.2231017,55434.9596614,120.263440239,199.381943937,400.920933898,36.8436964161,56192.3696759,2158.82815314,MODEL_PENALTY_COMPONENT_NOT_ACTUAL_OPERATING_COST,2.91038304567e-11
dissipation,3497,35233.0082489,35148.2314942,84.7767546915,6.32524126227,2.9334207848,24.3454778587,35266.6123888,0,MODEL_PENALTY_COMPONENT_NOT_ACTUAL_OPERATING_COST,1.45519152284e-11
Stage7_zero_target,5001,64967.7637288,64848.0364546,119.727274227,97.0459876951,68.5592302257,40.0822133954,65173.4511601,0,MODEL_PENALTY_COMPONENT_NOT_ACTUAL_OPERATING_COST,1.45519152284e-11
positive_target_adequate,650,76799.7286369,76559.3824123,240.346224602,1278.43349497,2753.40602404,62.3131823803,80893.8813383,1.366428338e-13,MODEL_PENALTY_COMPONENT_NOT_ACTUAL_OPERATING_COST,2.91038304567e-11
surplus_0_50,32,66823.8706566,66658.9019322,164.968724405,694.590719373,1308.10995968,46.6342984046,68873.2056341,2.77555756156e-12,MODEL_PENALTY_COMPONENT_NOT_ACTUAL_OPERATING_COST,0
surplus_50_100,98,71972.0587029,71792.1774536,179.881249294,770.625970847,2573.31536039,50.1469654938,75366.1469996,0,MODEL_PENALTY_COMPONENT_NOT_ACTUAL_OPERATING_COST,2.91038304567e-11
surplus_100_200,208,73275.2591136,73054.4280456,220.831067997,1141.39589102,3367.84193095,56.5197989188,77841.0167345,0,MODEL_PENALTY_COMPONENT_NOT_ACTUAL_OPERATING_COST,1.45519152284e-11
surplus_gt200,312,81688.9234117,81408.8438533,280.079558449,1589.17685333,2548.5845191,71.6049686049,85898.2897528,0,MODEL_PENALTY_COMPONENT_NOT_ACTUAL_OPERATING_COST,2.91038304567e-11
positive_target_shortfall,473,73369.7247723,73152.8081325,216.916639761,1227.90167558,3655.96115351,58.1482737785,78311.7358751,45641.1871701,MODEL_PENALTY_COMPONENT_NOT_ACTUAL_OPERATING_COST,1.45519152284e-11
pure_quantity,118,68855.2701784,68678.6265929,176.643585456,827.204205519,3252.65766387,47.8145171174,72982.9465649,88971.9315728,MODEL_PENALTY_COMPONENT_NOT_ACTUAL_OPERATING_COST,1.45519152284e-11
pure_location,203,77083.2328287,76831.9137258,251.319102904,1550.92370451,3525.0621371,66.9340700584,82226.1527404,14402.8348256,MODEL_PENALTY_COMPONENT_NOT_ACTUAL_OPERATING_COST,1.45519152284e-11
mixed,152,71914.8794211,71712.6435682,202.235852852,1107.56502816,4143.8711016,54.436870102,77220.7524209,53722.4877385,MODEL_PENALTY_COMPONENT_NOT_ACTUAL_OPERATING_COST,1.45519152284e-11
ordinary_shortage_paths,550,77016.7080964,76772.9457642,243.762332242,1670.96054939,7289.47152543,63.1264680383,86040.2666393,21437.153888,MODEL_PENALTY_COMPONENT_NOT_ACTUAL_OPERATING_COST,2.91038304567e-11
difficult4,245,74392.0748133,74174.4162645,217.658548792,1243.43028026,3913.6730729,58.5717855319,79607.749952,47840.5788407,MODEL_PENALTY_COMPONENT_NOT_ACTUAL_OPERATING_COST,1.45519152284e-11
extreme1,62,68888.0404321,68691.8801866,196.160245499,1057.95841333,5372.59150743,49.775123535,75368.3654764,139720.010978,MODEL_PENALTY_COMPONENT_NOT_ACTUAL_OPERATING_COST,1.45519152284e-11
