arm,penalty,path_id,stage,state_id,hurricane_a,hurricane_loc,hurricane_lf,beta,hour_in_stage,global_hour,site,electrical_bus,tariff_yuan_per_kwh,ordinary_demand_kg,ordinary_served_kg,ordinary_shortage_kg,H2_production_kg,P_EL_kW,pv_available_kw,pv_used_kw,root_grid_import,site_voltage_pu,begin_inventory_kg,inventory_before_HTT_kg,end_inventory_kg,HTT_in_kg,HTT_out_kg,begin_inventory_source,inventory_before_HTT_source,end_inventory_source,electrolyzer_capacity_binding,storage_capacity_binding,end_hour,relative_hour,pmax_kw,utilization,case_type,final_target_kg,min_voltage_pu,min_voltage_bus,max_line_loading_pct,total_HTT_kg
Arm-A,1000,1101,1,81,2,4,1,0,1,1,1,24,0.3,0.930941096818,0.930941096818,0,5.85,300,0,0,3679.00103,0.973923125868,58.0445570449,62.9636159481,62.9636159481,0,0,RECONSTRUCTED,DIRECT,DIRECT,1,0,40,-39,300,1,surplus_gt200_typical,3.27305014181,0.912081659456,18,0.682695583127,0
Arm-A,1000,1101,1,81,2,4,1,0,1,1,2,14,0.3,0.310559006211,0.310559006211,0,3.9,200,0,0,3679.00103,0.919057778867,50.3081379386,53.8975789324,53.8975789324,0,0,RECONSTRUCTED,DIRECT,DIRECT,1,0,40,-39,200,1,surplus_gt200_typical,0,0.912081659456,18,0.682695583127,0
Arm-A,1000,1101,1,81,2,4,1,0,1,1,3,18,0.3,0.198224597087,0.198224597087,0,2.34,120,0,0,3679.00103,0.912081659456,25.2621334423,27.4039088452,27.4039088452,0,0,RECONSTRUCTED,DIRECT,DIRECT,1,0,40,-39,120,1,surplus_gt200_typical,0,0.912081659456,18,0.682695583127,0
Arm-A,1000,1101,1,81,2,4,1,0,1,1,4,31,0.3,0.521467060664,0.521467060664,0,2.925,150,0,0,3679.00103,0.926614378802,33.0235808462,35.4271137856,35.4271137856,0,0,RECONSTRUCTED,DIRECT,DIRECT,1,0,40,-39,150,1,surplus_gt200_typical,7.91030645811,0.912081659456,18,0.682695583127,0
Arm-A,1000,1101,1,81,2,4,1,0,2,2,1,24,0.3,0.465470548409,0.465470548409,0,5.85,300,0,0,3511.0013,0.975132057083,62.9636159481,68.3481453996,68.3481453996,0,0,RECONSTRUCTED,DIRECT,DIRECT,1,0,40,-38,300,1,surplus_gt200_typical,3.27305014181,0.916065565424,18,0.649933578076,0
Arm-A,1000,1101,1,81,2,4,1,0,2,2,2,14,0.3,0.310559006211,0.310559006211,0,3.9,200,0,0,3511.0013,0.922769231255,53.8975789324,57.4870199262,57.4870199262,0,0,RECONSTRUCTED,DIRECT,DIRECT,1,0,40,-38,200,1,surplus_gt200_typical,0,0.916065565424,18,0.649933578076,0
Arm-A,1000,1101,1,81,2,4,1,0,2,2,3,18,0.3,0.396449194174,0.396449194174,0,2.34,120,0,0,3511.0013,0.916065565424,27.4039088452,29.347459651,29.347459651,0,0,RECONSTRUCTED,DIRECT,DIRECT,1,0,40,-38,120,1,surplus_gt200_typical,0,0.916065565424,18,0.649933578076,0
Arm-A,1000,1101,1,81,2,4,1,0,2,2,4,31,0.3,0.260733530332,0.260733530332,0,2.925,150,0,0,3511.0013,0.93032791569,35.4271137856,38.0913802552,38.0913802552,0,0,RECONSTRUCTED,DIRECT,DIRECT,1,0,40,-38,150,1,surplus_gt200_typical,7.91030645811,0.916065565424,18,0.649933578076,0
Arm-A,1000,1101,1,81,2,4,1,0,3,3,1,24,0.3,0.465470548409,0.465470548409,0,5.85,300,0,0,3456.000725,0.97552751738,68.3481453996,73.7326748512,73.7326748512,0,0,RECONSTRUCTED,DIRECT,DIRECT,1,0,40,-37,300,1,surplus_gt200_typical,3.27305014181,0.917366076845,18,0.639211583874,0
Arm-A,1000,1101,1,81,2,4,1,0,3,3,2,14,0.3,0.310559006211,0.310559006211,0,3.9,200,0,0,3456.000725,0.923981065441,57.4870199262,61.07646092,61.07646092,0,0,RECONSTRUCTED,DIRECT,DIRECT,1,0,40,-37,200,1,surplus_gt200_typical,0,0.917366076845,18,0.639211583874,0
Arm-A,1000,1101,1,81,2,4,1,0,3,3,3,18,0.3,0.198224597087,0.198224597087,0,2.34,120,0,0,3456.000725,0.917366076845,29.347459651,31.489235054,31.489235054,0,0,RECONSTRUCTED,DIRECT,DIRECT,1,0,40,-37,120,1,surplus_gt200_typical,0,0.917366076845,18,0.639211583874,0
Arm-A,1000,1101,1,81,2,4,1,0,3,3,4,31,0.3,0.260733530332,0.260733530332,0,2.925,150,0,0,3456.000725,0.931540454986,38.0913802552,40.7556467249,40.7556467249,0,0,RECONSTRUCTED,DIRECT,DIRECT,1,0,40,-37,150,1,surplus_gt200_typical,7.91030645811,0.917366076845,18,0.639211583874,0
Arm-A,1000,1101,1,81,2,4,1,0,4,4,1,24,0.3,0.465470548409,0.465470548409,0,5.85,300,0,0,3400.000815,0.975929998368,73.7326748512,79.1172043028,79.1172043028,0,0,RECONSTRUCTED,DIRECT,DIRECT,1,0,40,-36,300,1,surplus_gt200_typical,3.27305014181,0.918688326453,18,0.628296863943,0
Arm-A,1000,1101,1,81,2,4,1,0,4,4,2,14,0.3,0.621118012422,0.621118012422,0,3.9,200,0,0,3400.000815,0.925213287326,61.07646092,64.3553429076,64.3553429076,0,0,RECONSTRUCTED,DIRECT,DIRECT,1,0,40,-36,200,1,surplus_gt200_typical,0,0.918688326453,18,0.628296863943,0
