path_id,path_type,relative_hour,valid,origin_inventory_available,total_surplus_kg,total_site_shortfall_kg,aggregate_htt_capacity_remaining,aggregate_htt_used_remaining,aggregate_htt_slack_remaining,destination_headroom_total,minimum_required_redistribution_kg,optimistic_redistributable_kg,origin_inventory_limit_flag,aggregate_capacity_limit_flag,destination_headroom_limit_flag,timing_limit_flag,not_identifiable_flag,optimistic_recoverable_flag,final_no_future_HTT_inventory_total_kg,remaining_actual_production_kg,remaining_actual_served_demand_kg,remaining_ordinary_demand_kg,remaining_observed_shortage_kg,source_availability_is_monotone,reason,site1_origin_inventory_available_at_cutoff_kg,site1_origin_inventory_available_final_hour_kg,site1_shortfall_at_cutoff_kg,site1_shortfall_final_hour_kg,site1_destination_headroom_final_hour_kg,site2_origin_inventory_available_at_cutoff_kg,site2_origin_inventory_available_final_hour_kg,site2_shortfall_at_cutoff_kg,site2_shortfall_final_hour_kg,site2_destination_headroom_final_hour_kg,site3_origin_inventory_available_at_cutoff_kg,site3_origin_inventory_available_final_hour_kg,site3_shortfall_at_cutoff_kg,site3_shortfall_final_hour_kg,site3_destination_headroom_final_hour_kg,site4_origin_inventory_available_at_cutoff_kg,site4_origin_inventory_available_final_hour_kg,site4_shortfall_at_cutoff_kg,site4_shortfall_final_hour_kg,site4_destination_headroom_final_hour_kg,infinite_cap_optimistic_redistributable_kg,infinite_cap_optimistic_recoverable_flag
11,pure_location,-16,True,109.180102465,109.913029507,49.7719493863,1681.37142857,70.3701988337,1611.00122974,248.891760892,49.7719493863,109.913029507,False,False,False,False,True,True,455.666444842,240.24,35.7598987829,98.5039340683,62.7440352854,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,0,0,0.5498599236,0.5498599236,132.228361032,74.93003467,74.93003467,0,0,64.7918620614,34.2500677951,34.9829948369,0,0,30.6499322049,0,0,49.2220894627,49.2220894627,116.663399859,109.913029507,True
11,pure_location,-8,True,106.628638923,106.628638923,46.4875588029,763.428571429,9.47666939222,753.951902036,113.9288692,46.4875588029,106.628638923,False,False,False,False,True,True,455.666444842,120.12,35.7598987829,59.4930059307,23.7331071478,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,57.609138858,57.609138858,0,0,74.0693622507,46.1352686912,46.1352686912,0,0,93.5866280402,2.88423137421,2.88423137421,0,0,62.7486956676,0,0,46.4875588029,46.4875588029,113.9288692,106.628638923,True
11,pure_location,-4,True,110.233417465,110.233417465,50.0923373443,381.714285714,2.98765947656,378.726626238,183.166574783,50.0923373443,110.233417465,False,False,False,False,True,True,455.666444842,60.06,19.7260826855,33.3106263059,13.5845436204,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,57.609138858,57.609138858,0,0,74.0693622507,52.6242786068,52.6242786068,0,0,87.0976181245,0,0,3.60477854145,3.60477854145,69.2377055833,0,0,46.4875588029,46.4875588029,113.9288692,110.233417465,True
16,pure_location,-16,True,78.6494676844,78.6494676844,57.3724228492,2016,166.349979021,1849.65002098,256.492234355,57.3724228492,78.6494676844,False,False,False,False,True,True,416.802409557,234.787934353,59.4930059307,104.989071862,45.4960659317,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,0,0,7.18906100688,7.18906100688,138.867562116,52.4256868439,52.4256868439,0,0,87.2962098875,26.2237808405,26.2237808405,0,0,39.4091462013,0,0,50.1833618424,50.1833618424,117.624672239,78.6494676844,True
16,pure_location,-8,True,91.9619536751,91.9619536751,70.6849088399,891.428571429,70.103201571,821.325369858,203.759146278,70.6849088399,91.9619536751,False,False,False,False,True,True,416.802409557,114.667934353,0,45.4960659317,45.4960659317,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,89.0577164435,89.0577164435,0,0,42.6207846653,2.90423723162,2.90423723162,0,0,136.8176595,0,0,20.5015469976,20.5015469976,86.1344740394,0,0,50.1833618424,50.1833618424,117.624672239,91.9619536751,True
16,pure_location,-4,True,71.4604066775,71.4604066775,50.1833618424,445.714285714,39.3733421457,406.340943569,117.624672239,50.1833618424,71.4604066775,False,False,False,False,True,True,416.802409557,55.9005033089,0,8.99688639124,8.99688639124,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,58.3278570182,58.3278570182,0,0,73.3506440905,2.90423723162,2.90423723162,0,0,136.8176595,10.2283124277,10.2283124277,0,0,55.4046146141,0,0,50.1833618424,50.1833618424,117.624672239,71.4604066775,True
24,pure_location,-16,True,90.8986381562,90.8986381562,0,1816.68571429,93.3186127319,1723.36710155,0,0,90.8986381562,False,False,False,False,True,True,477.664568706,234.787934353,59.2578408501,84.5069940693,25.2491532192,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,8.79478701046,8.79478701046,0,0,106.906763199,40.1062004208,40.1062004208,0,0,77.4378247943,31.0185156271,31.0185156271,0,0,34.6144241467,10.9791350979,10.9791350979,0,0,103.376419154,90.8986381562,True
24,pure_location,-8,True,92.5597599614,92.5597599614,1.66112180518,827.428571429,63.3849160793,764.043655349,116.016676057,1.66112180518,92.5597599614,False,False,False,False,True,True,477.664568706,120.12,31.4496557579,39.0109281376,7.56127237963,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,38.728483663,38.728483663,0,0,76.9730665463,40.1062004208,40.1062004208,0,0,77.4378247943,13.7250758776,13.7250758776,0,0,51.9078638962,0,0,1.66112180518,1.66112180518,116.016676057,92.5597599614,True
24,pure_location,-4,True,90.8986381562,90.8986381562,0,413.714285714,54.6111954426,359.103090272,0,0,90.8986381562,False,False,False,False,True,True,477.664568706,60.06,26.5783849994,32.8359897274,6.25760472797,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,38.728483663,38.728483663,0,0,76.9730665463,40.1062004208,40.1062004208,0,0,77.4378247943,4.95135524091,4.95135524091,0,0,60.6815845329,7.11259883152,7.11259883152,0,0,107.24295542,90.8986381562,True
55,mixed,-16,True,19.5873273702,19.5873273702,79.7151048019,2245.18095238,11.8074940295,2233.37345835,342.986862644,79.7151048019,19.5873273702,True,False,False,False,False,False,256.812954062,138.06,63.2615211415,84.5069940693,21.2454729278,True,UPPER_BOUND_BELOW_REQUIRED_REDISTRIBUTION,0,0,66.7736066722,66.7736066722,197.505442955,13.307158346,13.307158346,0,0,135.937824794,6.28016902421,6.28016902421,0,0,64.2623584994,0,0,12.9414981296,12.9414981296,145.481419689,19.5873273702,False
55,mixed,-8,True,19.5873273702,19.5873273702,79.7151048019,1055.6952381,11.8074940295,1043.88774407,342.986862644,79.7151048019,19.5873273702,True,False,False,False,False,False,256.812954062,120.12,17.7654552098,39.0109281376,21.2454729278,True,UPPER_BOUND_BELOW_REQUIRED_REDISTRIBUTION,0,0,66.7736066722,66.7736066722,197.505442955,13.307158346,13.307158346,0,0,135.937824794,6.28016902421,6.28016902421,0,0,64.2623584994,0,0,12.9414981296,12.9414981296,145.481419689,19.5873273702,False
55,mixed,-4,True,7.77983334068,7.77983334068,67.9076107723,527.847619048,0,527.847619048,331.179368615,67.9076107723,7.77983334068,True,False,False,False,False,False,256.812954062,60.06,15.2215371933,32.8359897274,17.6144525341,True,UPPER_BOUND_BELOW_REQUIRED_REDISTRIBUTION,0,0,63.1612218291,63.1612218291,193.893058112,5.11204915957,5.11204915957,0,0,144.132933981,2.66778418111,2.66778418111,0,0,67.8747433425,0,0,4.74638894321,4.74638894321,137.286310502,7.77983334068,False
61,mixed,-16,True,39.3519605727,39.3519605727,59.9929574367,1623.77142857,30.7588418118,1593.01258676,277.046347469,59.9929574367,39.3519605727,True,False,False,False,False,False,434.858337694,240.24,59.4930059307,98.5039340683,39.0109281376,True,UPPER_BOUND_BELOW_REQUIRED_REDISTRIBUTION,0,0,23.2308620481,23.2308620481,100.664281023,39.3519605727,39.3519605727,0,0,88.0953148365,0,0,15.4749970154,15.4749970154,71.2887342691,0,0,21.2870983731,21.2870983731,105.093332177,39.3519605727,False
61,mixed,-8,True,21.3582269901,21.3582269901,41.9992238541,731.428571429,4.22219729267,727.206374136,181.619194912,41.9992238541,21.3582269901,True,False,False,False,False,False,434.858337694,120.12,59.4930059307,59.4930059307,0,True,UPPER_BOUND_BELOW_REQUIRED_REDISTRIBUTION,2.44467191302,2.44467191302,0,0,74.9887470616,18.9135550771,18.9135550771,0,0,108.533720332,0,0,14.6138864574,14.6138864574,70.4276237111,0,0,27.3853373967,27.3853373967,111.191571201,21.3582269901,False
61,mixed,-4,True,21.3582269901,21.3582269901,41.9992238541,365.714285714,4.22219729267,361.492088422,181.619194912,41.9992238541,21.3582269901,True,False,False,False,False,False,434.858337694,60.06,33.3106263059,33.3106263059,0,True,UPPER_BOUND_BELOW_REQUIRED_REDISTRIBUTION,2.44467191302,2.44467191302,0,0,74.9887470616,18.9135550771,18.9135550771,0,0,108.533720332,0,0,14.6138864574,14.6138864574,70.4276237111,0,0,27.3853373967,27.3853373967,111.191571201,21.3582269901,False
152,mixed,-16,True,9.71688558237,9.71688558237,62.2720687227,1964.8,44.3324966288,1920.46750337,379.32372417,62.2720687227,9.71688558237,True,False,False,False,False,False,371.306343625,234.787934353,45.4960659317,84.5069940693,39.0109281376,True,UPPER_BOUND_BELOW_REQUIRED_REDISTRIBUTION,0,0,25.1184233956,25.1184233956,156.555442955,0,0,28.5508506283,28.5508506283,95.9918620614,9.71688558237,9.71688558237,0,0,49.3699322049,0,0,8.6027946989,8.6027946989,126.776419154,9.71688558237,False
152,mixed,-8,True,0,0,52.5551831404,891.428571429,26.4863656007,864.942205828,428.693656375,52.5551831404,0,True,False,False,False,False,False,371.306343625,120.12,0,39.0109281376,39.0109281376,True,UPPER_BOUND_BELOW_REQUIRED_REDISTRIBUTION,0,0,7.2722923675,7.2722923675,138.709311927,0,0,28.5508506283,28.5508506283,95.9918620614,0,0,8.12924544569,8.12924544569,67.216063233,0,0,8.6027946989,8.6027946989,126.776419154,0,False
152,mixed,-4,True,9.92124333893,9.92124333893,62.4764264793,445.714285714,0.690035195402,445.024250519,189.0042557,62.4764264793,9.92124333893,True,False,False,False,False,False,371.306343625,60.06,0,32.8359897274,32.8359897274,True,UPPER_BOUND_BELOW_REQUIRED_REDISTRIBUTION,7.58830630056,7.58830630056,0,0,123.848713259,0,0,54.3471810336,54.3471810336,121.788192467,0,0,8.12924544569,8.12924544569,67.216063233,2.33293703837,2.33293703837,0,0,115.840687416,9.92124333893,False
156,pure_location,-16,True,80.4021388378,80.4021388378,50.899255557,1670.0952381,43.6923824178,1626.40285568,133.790920288,50.899255557,80.4021388378,False,False,False,False,True,True,572.559746303,229.016928936,104.989071862,104.989071862,0,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,33.9329086369,33.9329086369,0,0,36.4034048883,46.4692302009,46.4692302009,0,0,57.2459285211,0,0,10.2548963399,10.2548963399,66.0685675935,0,0,40.644359217,40.644359217,67.722352694,80.4021388378,True
156,pure_location,-8,True,65.3887476095,65.3887476095,35.8858643286,804.571428571,28.6789911895,775.892437382,118.777529059,35.8858643286,65.3887476095,False,False,False,False,True,True,572.559746303,108.896928936,45.4960659317,45.4960659317,0,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,20.9190083226,20.9190083226,0,0,49.4173052026,44.4697392869,44.4697392869,0,0,59.2454194351,0,0,3.21936046988,3.21936046988,59.0330317235,0,0,32.6665038588,32.6665038588,59.7444973358,65.3887476095,True
156,pure_location,-4,True,62.1693871396,62.1693871396,32.6665038588,402.285714286,0,402.285714286,59.7444973358,32.6665038588,62.1693871396,False,False,False,False,True,True,572.559746303,55.6699326589,8.99688639124,8.99688639124,0,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,2.96898956958,2.96898956958,0,0,67.3673239556,33.7407668504,33.7407668504,0,0,69.9743918716,25.4596307196,25.4596307196,0,0,30.354040534,0,0,32.6665038588,32.6665038588,59.7444973358,62.1693871396,True
182,pure_location,-16,True,24.9952164221,24.9952164221,1.41822735169,2230.85714286,0,2230.85714286,179.77148562,1.41822735169,24.9952164221,False,False,False,False,True,True,81.7726769673,0.40493353334,104.989071862,104.989071862,0,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,16.1562257452,16.1562257452,0,0,264.205442955,7.33949404549,7.33949404549,0,0,183.932527899,1.4994966314,1.4994966314,0,0,90.3178665577,0,0,1.41822735169,1.41822735169,179.77148562,24.9952164221,True
182,pure_location,-8,True,24.9952164221,24.9952164221,1.41822735169,1097.14285714,0,1097.14285714,179.77148562,1.41822735169,24.9952164221,False,False,False,False,True,True,81.7726769673,0.40493353334,45.4960659317,45.4960659317,0,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,16.1562257452,16.1562257452,0,0,264.205442955,7.33949404549,7.33949404549,0,0,183.932527899,1.4994966314,1.4994966314,0,0,90.3178665577,0,0,1.41822735169,1.41822735169,179.77148562,24.9952164221,True
182,pure_location,-4,True,24.9952164221,24.9952164221,1.41822735169,548.571428571,0,548.571428571,179.77148562,1.41822735169,24.9952164221,False,False,False,False,True,True,81.7726769673,0.40493353334,8.99688639124,8.99688639124,0,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,16.1562257452,16.1562257452,0,0,264.205442955,7.33949404549,7.33949404549,0,0,183.932527899,1.4994966314,1.4994966314,0,0,90.3178665577,0,0,1.41822735169,1.41822735169,179.77148562,24.9952164221,True
202,pure_location,-16,True,150.900406678,150.900406678,33.3833618424,1874.28571429,79.3982051918,1794.88750909,100.824672239,33.3833618424,150.900406678,False,False,False,False,True,True,513.042409557,240.24,98.5039340683,98.5039340683,0,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,31.4109389931,31.4109389931,0,0,100.267562116,81.73893514,81.73893514,0,0,57.9829615914,37.7505325444,37.7505325444,0,0,27.8823944974,0,0,33.3833618424,33.3833618424,100.824672239,150.900406678,True
202,pure_location,-8,True,133.339135039,133.339135039,15.8220902035,827.428571429,15.7165289226,811.712042506,148.896327642,15.8220902035,133.339135039,False,False,False,False,True,True,513.042409557,120.12,59.4930059307,59.4930059307,0,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,73.3464075805,73.3464075805,0,0,58.3320935282,59.9927274581,59.9927274581,0,0,79.7291692732,0,0,4.18493604296,4.18493604296,69.8178630848,0,0,11.6371541605,11.6371541605,79.0784645573,133.339135039,True
202,pure_location,-4,True,123.507848237,123.507848237,5.99080340136,413.714285714,5.88524212042,407.829043594,139.06504084,5.99080340136,123.507848237,False,False,False,False,True,True,513.042409557,60.06,33.3106263059,33.3106263059,0,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,73.3464075805,73.3464075805,0,0,58.3320935282,50.161440656,50.161440656,0,0,89.5604560754,0,0,4.18493604296,4.18493604296,69.8178630848,0,0,1.8058673584,1.8058673584,69.2471777551,123.507848237,True
216,pure_location,-16,True,124.095758762,124.828685803,28.9277069,1860.57142857,94.5453829229,1766.02604565,96.3690172968,28.9277069,124.828685803,False,False,False,False,True,True,491.426343625,240.24,0,98.5039340683,98.5039340683,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,24.2970937991,24.2970937991,0,0,107.38140731,67.922632813,67.922632813,0,0,71.7992639184,31.8760321496,32.6089591914,0,0,33.0239678504,0,0,28.9277069,28.9277069,96.3690172968,124.828685803,True
216,pure_location,-8,True,131.234350014,131.234350014,35.3333711106,891.428571429,40.2590108086,851.16956062,102.774681507,35.3333711106,131.234350014,False,False,False,False,True,True,491.426343625,120.12,0,59.4930059307,59.4930059307,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,78.5834659133,78.5834659133,0,0,53.0950351954,50.4777164078,50.4777164078,0,0,89.2441803235,2.17316769283,2.17316769283,0,0,63.459759349,0,0,35.3333711106,35.3333711106,102.774681507,131.234350014,True
216,pure_location,-4,True,99.2027787326,99.2027787326,3.30179982922,445.714285714,0,445.714285714,136.376037268,3.30179982922,99.2027787326,False,False,False,False,True,True,491.426343625,60.06,0,33.3106263059,33.3106263059,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,42.6553092807,42.6553092807,0,0,89.023191828,56.5474694519,56.5474694519,0,0,83.1744272794,0,0,2.1576864832,2.1576864832,67.790613525,0,0,1.14411334603,1.14411334603,68.5854237428,99.2027787326,True
222,mixed,-16,True,19.5873273702,19.5873273702,103.88557773,2194.28571429,25.7879996374,2168.49771465,367.157335572,103.88557773,19.5873273702,True,False,False,False,False,False,232.642481134,135.135,84.5069940693,84.5069940693,0,True,UPPER_BOUND_BELOW_REQUIRED_REDISTRIBUTION,0,0,81.6128077555,81.6128077555,212.344644038,13.307158346,13.307158346,0,0,135.937824794,6.28016902421,6.28016902421,0,0,64.2623584994,0,0,22.2727699741,22.2727699741,154.812691533,19.5873273702,False
222,mixed,-8,True,19.5873273702,19.5873273702,103.88557773,987.428571429,25.7879996374,961.640571791,367.157335572,103.88557773,19.5873273702,True,False,False,False,False,False,232.642481134,120.12,39.0109281376,39.0109281376,0,True,UPPER_BOUND_BELOW_REQUIRED_REDISTRIBUTION,0,0,81.6128077555,81.6128077555,212.344644038,13.307158346,13.307158346,0,0,135.937824794,6.28016902421,6.28016902421,0,0,64.2623584994,0,0,22.2727699741,22.2727699741,154.812691533,19.5873273702,False
222,mixed,-4,True,0.981650973942,0.981650973942,85.2799013334,493.714285714,0,493.714285714,419.094186699,85.2799013334,0.981650973942,True,False,False,False,False,False,232.642481134,60.06,32.8359897274,32.8359897274,0,True,UPPER_BOUND_BELOW_REQUIRED_REDISTRIBUTION,0,0,62.9433899392,62.9433899392,193.675226222,0.981650973942,0.981650973942,0,0,148.263332166,0,0,7.18232324115,7.18232324115,77.7248507648,0,0,15.1541881531,15.1541881531,147.694109712,0.981650973942,False
230,pure_location,-16,True,77.2171217363,77.2171217363,67.9180285696,2009.6,74.9847538584,1934.61524614,165.332335572,67.9180285696,77.2171217363,False,False,False,False,True,True,552.355956189,240.24,47.5068611782,98.5039340683,50.9970728901,True,UPPER_BOUND_SUFFICIENT_NOT_FEASIBILITY_PROOF,0,0,7.45833051324,7.45833051324,77.7946440384,42.886132422,42.886132422,0,0,60.8290263,34.3309893143,34.3309893143,0,0,21.4826819393,0,0,60.4596980564,60.4596980564,87.5376915334,77.2171217363,True
