record_type,path_id,path_group,stage,state_id,global_hour,origin_site,destination_site,flow_kg,ex_post_origin_target_kg,ex_post_destination_target_kg,proxy_origin_target_kg,proxy_destination_target_kg,ex_post_aligned_kg,information_proxy_aligned_kg,ex_post_non_aligned_kg,conservative_expost_nonaligned_but_information_aligned_kg,strict_flow_row_reversal,alignment_scope,group,path_count_with_HTT,flow_row_count,total_HTT_kg,ex_post_aligned_HTT_kg,ex_post_alignment_fraction,information_proxy_aligned_HTT_kg,information_proxy_alignment_fraction,strict_reversal_path_count,strict_reversal_flow_row_count,proxy_limit
FLOW,3,other,3,69,17,2,3,0.617513454709,0,0,1.89832022962,1.31193566991,0,0,0.617513454709,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,6,other,3,93,17,2,3,1.38627250897,0,0,1.39569970541,0.928304794574,0,0,1.38627250897,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,9,other,4,222,25,2,1,8.91869968598,0,0,33.3513433439,95.7194729988,0,0,8.91869968598,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,9,other,4,222,25,3,1,18.0477180273,0,0,19.3518908719,95.7194729988,0,0,18.0477180273,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,9,other,4,222,26,2,4,10.0273521717,0,0,33.3513433439,45.7830515806,0,0,10.0273521717,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,11,pure_location,4,197,25,2,1,26.060235319,60.2781032687,168.321498891,54.5067327575,132.519669844,16.43003467,22.2014051811,9.63020064899,5.77137051113,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,11,pure_location,4,197,25,2,4,2.73453065986,60.2781032687,132.558689603,54.5067327575,77.2731714563,2.73453065986,2.73453065986,0,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,11,pure_location,4,197,25,3,1,32.0987634627,34.3670729582,168.321498891,28.1772106093,132.519669844,0,6.07285718578,32.0987634627,6.07285718578,True,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,11,pure_location,5,214,33,3,2,6.48900991566,34.3670729582,60.2781032687,22.9469140891,48.6567954331,0,0,6.48900991566,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,11,pure_location,5,214,40,4,2,2.98765947656,132.558689603,60.2781032687,54.3445013045,48.6567954331,0,0,2.98765947656,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,16,pure_location,2,124,9,3,1,38.3129099656,34.3670729582,168.321498891,17.1124359028,75.6395928269,3.94583700744,0,34.3670729582,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,16,pure_location,2,124,14,2,1,49.5214496123,60.2781032687,168.321498891,31.5879774875,75.6395928269,19.0157489557,0,30.5057006566,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,16,pure_location,2,124,16,3,1,8.41241787245,34.3670729582,168.321498891,17.1124359028,75.6395928269,0,0,8.41241787245,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,16,pure_location,3,182,18,1,3,30.7298594253,168.321498891,34.3670729582,175.071745569,38.1563038041,29.0894813503,30.7298594253,1.64037807495,1.64037807495,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,16,pure_location,3,182,24,1,2,31.4655948134,168.321498891,60.2781032687,175.071745569,82.8533665286,0,19.6710260283,31.4655948134,19.6710260283,True,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,16,pure_location,3,182,24,1,4,7.90774733231,168.321498891,132.558689603,175.071745569,106.015467993,7.90774733231,7.90774733231,0,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,17,other,3,93,17,2,3,1.38627250897,0,0,1.39569970541,0.928304794574,0,0,1.38627250897,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,18,other,5,78,35,2,3,1.22184412659,0,0,1.08012962388,0.821854656921,0,0,1.22184412659,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,19,positive_target_adequate,5,166,33,2,1,3.15772719632,47.7705448833,70.8777395635,11.8907958849,27.9766941233,0,0,3.15772719632,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,19,positive_target_adequate,5,166,33,3,1,9.04093648575,22.9113388566,70.8777395635,6.71895337245,27.9766941233,0,0,9.04093648575,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,22,other,5,133,33,2,4,17.6571387928,0,0,27.2650128823,40.4594292369,0,0,17.6571387928,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,22,other,5,133,33,3,4,7.14391994459,0,0,15.1733220937,40.4594292369,0,0,7.14391994459,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
