path_id,source_classification,reclassification,terminal_gap_kg,no_movable_surplus_flag,surplus_appeared_too_late_flag,aggregate_capacity_limited_flag,destination_headroom_limited_flag,information_not_yet_revealed_flag,expost_misaligned_but_information_consistent_flag,capacity_available_but_not_used_strict_flag,first_information_consistent_opportunity_relative_hour,strict_information_consistent_unused_opportunity_kg_sum,conservative_expost_nonaligned_but_information_aligned_kg,formal_pairwise_road_block,causal_policy_failure_claim
24,CANDIDATE_UNDER_DISPATCH_98,EX_POST_MISALIGNED_BUT_INFORMATION_CONSISTENT,11.1824243848,False,False,False,False,False,True,True,-16,218.797821007,5.4378574344,NO_SUCH_HARD_CONSTRAINT,NO
202,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,1.8058673584,False,False,False,False,False,False,True,-24,426.241850008,0,NO_SUCH_HARD_CONSTRAINT,NO
439,CANDIDATE_UNDER_DISPATCH_98,EX_POST_MISALIGNED_BUT_INFORMATION_CONSISTENT,10.964019956,False,False,False,False,False,True,True,-16,89.4420613508,3.66821455977,NO_SUCH_HARD_CONSTRAINT,NO
550,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,4.72735912179,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
749,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,21.6322897209,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
806,CANDIDATE_UNDER_DISPATCH_98,EX_POST_MISALIGNED_BUT_INFORMATION_CONSISTENT,19.9376965688,False,False,False,False,False,True,True,-16,216.08006228,9.86138549176,NO_SUCH_HARD_CONSTRAINT,NO
889,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,0.451125765422,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
1159,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,3.74757370849,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
1364,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,0.106525322269,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
1389,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,17.5888473662,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
1455,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,15.2742850027,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
1460,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,1.18674861547,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
1511,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,15.4280676311,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
1616,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,4.0152308042e-05,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
1710,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,39.3323593221,False,False,False,False,False,False,True,-23,169.763266657,0,NO_SUCH_HARD_CONSTRAINT,NO
1719,CANDIDATE_UNDER_DISPATCH_98,EX_POST_MISALIGNED_BUT_INFORMATION_CONSISTENT,8.19720660409,False,False,False,False,False,True,True,-32,66.4307046636,0.164054979244,NO_SUCH_HARD_CONSTRAINT,NO
1897,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,10.4544590985,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
2018,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,9.74332144299,False,False,False,False,False,False,True,-16,375.332239625,0,NO_SUCH_HARD_CONSTRAINT,NO
2032,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,2.4550681526,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
2158,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,9.36363150142,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
2219,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,0.160254347448,False,False,False,False,False,False,True,-24,350.10851933,0,NO_SUCH_HARD_CONSTRAINT,NO
2240,CANDIDATE_UNDER_DISPATCH_98,EX_POST_MISALIGNED_BUT_INFORMATION_CONSISTENT,9.40479788794,False,False,False,False,False,True,True,-16,416.23166035,15.4996887908,NO_SUCH_HARD_CONSTRAINT,NO
2425,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,0.0813392488481,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
2532,CANDIDATE_UNDER_DISPATCH_98,EX_POST_MISALIGNED_BUT_INFORMATION_CONSISTENT,9.91390648182,False,False,False,False,False,True,True,-24,361.736122123,12.2693321674,NO_SUCH_HARD_CONSTRAINT,NO
2623,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,16.9713339115,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
2632,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,19.9710287696,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
2674,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,1.57965252942,False,False,False,False,False,False,True,-16,178.882698604,0.688129338842,NO_SUCH_HARD_CONSTRAINT,NO
2776,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,4.0152308042e-05,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
2802,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,9.36363150142,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
2824,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,0.611948829209,False,False,False,False,False,False,True,-8,93.2742036039,0,NO_SUCH_HARD_CONSTRAINT,NO
2825,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,0.972194649057,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
2834,CANDIDATE_UNDER_DISPATCH_98,EX_POST_MISALIGNED_BUT_INFORMATION_CONSISTENT,6.86471802776,False,False,False,False,False,True,True,-32,463.472210231,38.6735591612,NO_SUCH_HARD_CONSTRAINT,NO
2854,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,5.51726025871,False,False,False,False,False,False,True,-32,462.460355871,0,NO_SUCH_HARD_CONSTRAINT,NO
2906,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,15.4280676311,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
3005,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,1.90657825861,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
3013,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,0.995805813222,False,False,False,False,False,False,True,-7,2.56999178323,0,NO_SUCH_HARD_CONSTRAINT,NO
3129,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,0.756700350426,False,False,False,False,False,False,True,-23,51.5730046368,0,NO_SUCH_HARD_CONSTRAINT,NO
3136,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,15.8505697536,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
3160,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,6.51932240261,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
3245,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,36.8147946731,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
3428,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,9.36363150142,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
3447,CANDIDATE_UNDER_DISPATCH_98,EX_POST_MISALIGNED_BUT_INFORMATION_CONSISTENT,15.8467839716,False,False,False,False,False,True,True,-32,218.079950928,27.9609685905,NO_SUCH_HARD_CONSTRAINT,NO
3495,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,2.93628234566,False,False,False,False,False,False,True,-16,263.432568146,4.05894718617,NO_SUCH_HARD_CONSTRAINT,NO
3507,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,4.0152308042e-05,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
3527,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,6.20203467972,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
3660,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,15.2136315014,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
3758,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,9.43088414149,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
3813,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,5.51726025871,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
3989,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,54.8420213673,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
4012,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,0.972194649057,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
4070,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,4.0152308042e-05,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
4120,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,10.4544590985,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
4209,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,0.391913476787,False,False,False,False,False,False,True,-15,84.4819893923,0,NO_SUCH_HARD_CONSTRAINT,NO
4326,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,2.9495950149,False,False,False,False,False,False,True,-16,300.628606626,5.52031993048,NO_SUCH_HARD_CONSTRAINT,NO
4787,CANDIDATE_UNDER_DISPATCH_98,NOT_IDENTIFIABLE,20.2997071872,False,False,False,False,False,False,False,-8,3.39333845407,0,NO_SUCH_HARD_CONSTRAINT,NO
4863,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,4.0152308685e-05,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
4869,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,3.2984576866,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
4961,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,1.15217517173,False,False,False,False,False,False,True,-32,8.83956500283,0,NO_SUCH_HARD_CONSTRAINT,NO
4985,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,15.3810917635,False,False,False,False,False,False,True,-16,81.6209595805,0,NO_SUCH_HARD_CONSTRAINT,NO
5052,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,9.36363150142,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
5254,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,17.5888473662,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
5273,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,2.15903897035,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
5295,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,19.1527115184,False,False,False,False,False,False,True,-8,99.0495138654,0,NO_SUCH_HARD_CONSTRAINT,NO
5304,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,0.718186107815,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
5377,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,4.0152308042e-05,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
5443,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,13.2090305688,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
5593,CANDIDATE_UNDER_DISPATCH_98,EX_POST_MISALIGNED_BUT_INFORMATION_CONSISTENT,0.151701023012,False,False,False,False,False,True,True,-24,470.010660882,15.4996887908,NO_SUCH_HARD_CONSTRAINT,NO
5661,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,10.0805635228,False,False,False,False,False,False,True,-8,62.8700833519,0.928361125337,NO_SUCH_HARD_CONSTRAINT,NO
5716,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,0.342063694192,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
5781,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,1.98663208721,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
5816,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,0.276490770809,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
5913,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,15.9425387521,False,False,False,False,False,False,True,-9,63.606381172,0,NO_SUCH_HARD_CONSTRAINT,NO
6105,CANDIDATE_UNDER_DISPATCH_98,EX_POST_MISALIGNED_BUT_INFORMATION_CONSISTENT,3.32343495461,False,False,False,False,False,True,True,-16,59.2225220789,10.9018740898,NO_SUCH_HARD_CONSTRAINT,NO
6264,CANDIDATE_UNDER_DISPATCH_98,EX_POST_MISALIGNED_BUT_INFORMATION_CONSISTENT,15.9425387521,False,False,False,False,False,True,True,-24,202.684149577,8.75429313421,NO_SUCH_HARD_CONSTRAINT,NO
6312,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,10.4544590985,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
6389,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,4.41891172255,False,False,False,False,False,False,True,-24,510.672340006,0,NO_SUCH_HARD_CONSTRAINT,NO
6434,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,3.67000587218,False,False,False,False,False,False,True,-8,12.9536385112,0,NO_SUCH_HARD_CONSTRAINT,NO
6445,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,3.51363150142,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
6446,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,20.1023591218,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
6689,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,10.4544590985,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
6853,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,11.0233615846,False,False,False,False,False,False,True,-8,23.8310791487,0,NO_SUCH_HARD_CONSTRAINT,NO
7019,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,19.9710287696,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
7329,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,15.2742850027,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
7445,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,1.37254457604,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
7590,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,15.2136315014,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
7606,CANDIDATE_UNDER_DISPATCH_98,CAPACITY_AVAILABLE_BUT_NOT_USED,13.5485201441,False,False,False,False,False,False,True,-24,116.518582826,0,NO_SUCH_HARD_CONSTRAINT,NO
7739,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,14.2037013068,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
7789,CANDIDATE_UNDER_DISPATCH_98,INFORMATION_NOT_YET_REVEALED,2.15727771232,False,False,False,False,True,False,False,,0,0,NO_SUCH_HARD_CONSTRAINT,NO
