alignment_view,origin_site,destination_site,path_count,potential_match_kg,actual_same_OD_HTT_kg,aligned_HTT_kg,path_hour_count
EX_POST_FINAL_TARGET,1,2,68,714.566396329,104.686987936,91.1537634242,
CONTEMPORANEOUS_INFORMATION_PROXY,1,2,10,,179.233584774,86.5828385725,10
EX_POST_FINAL_TARGET,1,3,128,799.285967283,87.1251147834,74.8423334752,
CONTEMPORANEOUS_INFORMATION_PROXY,1,3,68,,867.049180111,647.51286309,73
EX_POST_FINAL_TARGET,1,4,106,1130.96121276,399.582991376,291.977743652,
CONTEMPORANEOUS_INFORMATION_PROXY,1,4,49,,1207.42456168,478.995475305,50
EX_POST_FINAL_TARGET,2,1,114,1024.30308228,357.508030484,129.822037044,
CONTEMPORANEOUS_INFORMATION_PROXY,2,1,174,,2949.08872805,1505.57499849,178
EX_POST_FINAL_TARGET,2,3,129,686.463900255,172.376900503,102.677036917,
CONTEMPORANEOUS_INFORMATION_PROXY,2,3,199,,2427.90500043,1210.92928266,210
EX_POST_FINAL_TARGET,2,4,182,2420.15431054,1118.01462821,693.533762993,
CONTEMPORANEOUS_INFORMATION_PROXY,2,4,392,,4990.25024797,2524.24104857,407
EX_POST_FINAL_TARGET,3,1,69,204.484282994,491.154942768,98.0320179675,
CONTEMPORANEOUS_INFORMATION_PROXY,3,1,224,,4924.41274081,1272.20861083,227
EX_POST_FINAL_TARGET,3,2,31,131.11289551,4.77506467772,0,
CONTEMPORANEOUS_INFORMATION_PROXY,3,2,2,,16.2501487202,5.44935492632,2
EX_POST_FINAL_TARGET,3,4,120,600.216389223,268.523737375,131.664339196,
CONTEMPORANEOUS_INFORMATION_PROXY,3,4,139,,2005.08674581,902.144120952,139
EX_POST_FINAL_TARGET,4,1,37,158.928972596,22.7774461851,2.74902045111,
CONTEMPORANEOUS_INFORMATION_PROXY,4,1,2,,20.1009895001,11.8090643714,2
EX_POST_FINAL_TARGET,4,2,71,774.172313499,12.0739876003,12.0739876003,
CONTEMPORANEOUS_INFORMATION_PROXY,4,2,2,,2.44011321509,2.44011321509,2
EX_POST_FINAL_TARGET,4,3,114,556.691461174,0,0,
CONTEMPORANEOUS_INFORMATION_PROXY,4,3,2,,1.99899678162,1.99899678162,2
