group,path_id,real_hour_count,first_HTT_hour_gt0,first_meaningful_HTT_hour_ge1kg,first_meaningful_HTT_hour_ge5kg,peak_HTT_hour,peak_HTT_kg,last_HTT_hour,final16h_HTT_kg,final8h_HTT_kg,final4h_HTT_kg,cumulative_HTT_by_-24h_kg,checkpoint_-24h_available,cumulative_HTT_by_-16h_kg,checkpoint_-16h_available,cumulative_HTT_by_-8h_kg,checkpoint_-8h_available,cumulative_HTT_by_-4h_kg,checkpoint_-4h_available,cumulative_HTT_by_0h_kg,checkpoint_0h_available
positive_target_adequate,19,40,-8,-8,-8,-8,12.1986636821,-8,12.1986636821,12.1986636821,0,0,True,0,True,0,True,12.1986636821,True,12.1986636821,True
positive_target_adequate,27,40,-17,-17,-16,-16,33.6352365858,-1,60.8920668543,20.7701105916,5.94063306001,0,True,3.47707757168,True,43.5990338344,True,58.4285113659,True,64.3691444259,True
positive_target_adequate,28,32,-22,-22,-22,-8,42.2221202804,-3,70.9723677783,51.9386574435,9.71653716318,0,True,46.0223787977,True,65.0560891324,True,107.278209413,True,116.994746576,True
positive_target_adequate,29,32,-16,-16,-16,-3,42.1639167564,-3,97.0973544938,60.1603335826,42.1639167564,0,True,0,True,36.9370209112,True,54.9334377374,True,97.0973544938,True
positive_target_adequate,42,40,-8,-8,-8,-8,8.81162096044,-8,8.81162096044,8.81162096044,0,0,True,0,True,0,True,8.81162096044,True,8.81162096044,True
positive_target_adequate,77,40,-24,-16,-16,-14,30.4557083111,-6,74.8952012868,36.3395044007,0,0,True,0.237286461309,True,38.7929833474,True,75.1324877481,True,75.1324877481,True
positive_target_adequate,91,32,-16,-16,-16,-8,47.7718092858,-8,73.9074878817,47.7718092858,0,0,True,0,True,26.1356785959,True,73.9074878817,True,73.9074878817,True
positive_target_adequate,107,24,-8,-8,-8,-8,39.2265419804,-1,43.6655497257,43.6655497257,4.43900774522,0,True,0,True,0,True,39.2265419804,True,43.6655497257,True
positive_target_adequate,116,32,-16,-9,-9,-9,28.9697577081,-8,47.0929091133,17.3912966486,0,0,True,0,True,29.7016124647,True,47.0929091133,True,47.0929091133,True
positive_target_adequate,135,24,-8,-8,-8,-8,18.9239362913,-8,18.9239362913,18.9239362913,0,0,True,0,True,0,True,18.9239362913,True,18.9239362913,True
positive_target_adequate,193,40,-17,-17,-16,-16,65.6281851991,-8,78.8526923761,13.224507177,0,0,True,3.47707757168,True,69.1052627707,True,82.3297699477,True,82.3297699477,True
positive_target_adequate,208,40,-8,-8,-8,-8,12.3557098724,-8,12.3557098724,12.3557098724,0,0,True,0,True,0,True,12.3557098724,True,12.3557098724,True
positive_target_adequate,213,48,-8,-8,-8,-8,35.6359731691,-8,35.6359731691,35.6359731691,0,0,True,0,True,0,True,35.6359731691,True,35.6359731691,True
positive_target_adequate,225,48,-8,-8,-8,-8,12.4375930554,-8,12.4375930554,12.4375930554,0,0,True,0,True,0,True,12.4375930554,True,12.4375930554,True
positive_target_adequate,228,24,-8,-8,-8,-8,43.3267606936,-1,71.1943562953,71.1943562953,27.8675956017,0,True,0,True,0,True,43.3267606936,True,71.1943562953,True
positive_target_adequate,240,40,-8,-8,-8,-8,12.8668184318,-8,12.8668184318,12.8668184318,0,0,True,0,True,0,True,12.8668184318,True,12.8668184318,True
positive_target_adequate,242,40,-24,-24,-24,-24,37.0400749645,-6,33.720563839,21.4113575826,0,0,True,40.2091476915,True,52.5183539479,True,73.9297115305,True,73.9297115305,True
positive_target_adequate,262,40,-8,-8,-8,-8,24.8010587374,-8,24.8010587374,24.8010587374,0,0,True,0,True,0,True,24.8010587374,True,24.8010587374,True
positive_target_adequate,273,32,-8,-8,-8,-2,18.7688136145,-2,35.4399409658,35.4399409658,18.7688136145,0,True,0,True,0,True,16.6711273513,True,35.4399409658,True
positive_target_adequate,277,40,-16,-16,-16,-16,70.8704090649,-8,83.6647612702,12.7943522053,0,0,True,0,True,70.8704090649,True,83.6647612702,True,83.6647612702,True
positive_target_adequate,295,32,-16,-16,-16,-16,20.2828788078,-1,40.711452751,20.4285739432,12.0682474591,0,True,0,True,20.2828788078,True,28.643205292,True,40.711452751,True
positive_target_adequate,302,32,-8,-8,-8,-8,14.7370371716,-5,19.9702458467,19.9702458467,0,0,True,0,True,0,True,19.9702458467,True,19.9702458467,True
positive_target_adequate,305,32,,,,-32,0,,0,0,0,0,True,0,True,0,True,0,True,0,True
positive_target_adequate,308,32,-16,-16,-16,-15,14.3368773866,-8,40.9946171439,3.34246137919,0,0,True,0,True,37.6521557647,True,40.9946171439,True,40.9946171439,True
positive_target_adequate,370,32,-8,-8,-8,-8,22.7795090335,-8,22.7795090335,22.7795090335,0,0,True,0,True,0,True,22.7795090335,True,22.7795090335,True
positive_target_adequate,388,32,-5,-5,-5,-1,27.8654286017,-1,36.5132996988,36.5132996988,27.8654286017,0,True,0,True,0,True,8.64787109714,True,36.5132996988,True
positive_target_adequate,390,40,-18,-16,-16,-14,32.595677036,-8,50.1899677202,11.5025353968,0,0,True,0.932635475523,True,39.6200677989,True,51.1226031957,True,51.1226031957,True
positive_target_adequate,401,32,-5,-5,-5,-5,30.42025622,-5,30.42025622,30.42025622,0,0,True,0,True,0,True,30.42025622,True,30.42025622,True
positive_target_adequate,403,32,-24,-24,-24,-19,49.5214496123,-3,90.6176133158,51.9386574435,22.1072443163,0,True,96.2467774503,True,134.925733323,True,164.75714645,True,186.864390766,True
positive_target_adequate,413,32,-8,-8,-8,-8,12.7338770584,-8,12.7338770584,12.7338770584,0,0,True,0,True,0,True,12.7338770584,True,12.7338770584,True
positive_target_adequate,422,40,,,,-40,0,,0,0,0,0,True,0,True,0,True,0,True,0,True
positive_target_adequate,426,32,-9,-9,-8,-6,33.0440546844,-1,48.423265849,44.9461882773,6.70571605205,0,True,0,True,3.47707757168,True,41.7175497969,True,48.423265849,True
positive_target_adequate,446,32,-16,-16,-8,-8,17.5226807965,-4,22.0532950375,21.0198042179,3.49712342139,0,True,0,True,1.03349081966,True,18.5561716161,True,22.0532950375,True
positive_target_adequate,451,32,-8,-8,-8,-8,27.191201666,-8,27.191201666,27.191201666,0,0,True,0,True,0,True,27.191201666,True,27.191201666,True
positive_target_adequate,479,48,-16,-16,-8,-8,5.88565691893,-8,7.36977632057,5.88565691893,0,0,True,0,True,1.48411940164,True,7.36977632057,True,7.36977632057,True
positive_target_adequate,509,24,-8,-8,-8,-8,23.4696747396,-2,39.7208986291,39.7208986291,16.2512238895,0,True,0,True,0,True,23.4696747396,True,39.7208986291,True
positive_target_adequate,558,40,-8,-8,-8,-2,13.0275005452,-2,25.2158909584,25.2158909584,13.0275005452,0,True,0,True,0,True,12.1883904132,True,25.2158909584,True
positive_target_adequate,559,32,-22,-22,-22,-22,40.7767589702,-3,55.4467271551,37.1819778292,32.4132540394,0,True,46.0223787977,True,64.2871281236,True,69.0558519135,True,101.469105953,True
positive_target_adequate,568,32,-13,-13,-8,-8,31.3062759114,-8,33.6557762771,31.3062759114,0,0,True,0,True,2.34950036567,True,33.6557762771,True,33.6557762771,True
positive_target_adequate,569,40,-17,-17,-16,-16,26.9705438234,-1,64.7853092784,37.814765455,23.1730157734,0,True,3.47707757168,True,30.447621395,True,45.0893710767,True,68.2623868501,True
positive_target_adequate,583,24,-8,-8,-8,-8,22.333010511,-3,46.9774310328,46.9774310328,15.9136131131,0,True,0,True,0,True,31.0638179197,True,46.9774310328,True
positive_target_adequate,611,32,-9,-9,-7,-7,37.9413066824,-7,41.4183842541,37.9413066824,0,0,True,0,True,3.47707757168,True,41.4183842541,True,41.4183842541,True
positive_target_adequate,632,40,-24,-24,-16,-16,41.4941046754,-1,70.4323780134,28.9382733381,10.6227696332,0,True,2.91324829607,True,44.4073529715,True,62.7228566763,True,73.3456263095,True
positive_target_adequate,641,32,-16,-16,-16,-16,21.8980539775,-7,40.8441058352,18.9460518577,0,0,True,0,True,21.8980539775,True,40.8441058352,True,40.8441058352,True
positive_target_adequate,663,32,-8,-8,-8,-6,29.5669771127,-1,44.9461882773,44.9461882773,6.70571605205,0,True,0,True,0,True,38.2404722252,True,44.9461882773,True
positive_target_adequate,684,24,-8,-8,-8,-8,39.3392867474,-1,44.2330858302,44.2330858302,4.89379908276,0,True,0,True,0,True,39.3392867474,True,44.2330858302,True
positive_target_adequate,700,40,-16,-16,-16,-16,43.1396076438,-8,53.7244531515,3.65494602491,0,0,True,0,True,50.0695071266,True,53.7244531515,True,53.7244531515,True
positive_target_adequate,707,48,-8,,,-8,0.32907664134,-8,0.32907664134,0.32907664134,0,0,True,0,True,0,True,0.32907664134,True,0.32907664134,True
positive_target_adequate,717,40,-16,-16,-16,-16,34.6724588812,-1,37.7414988402,3.06903995899,3.06903995899,0,True,0,True,34.6724588812,True,34.6724588812,True,37.7414988402,True
positive_target_adequate,724,48,-24,-24,-19,-8,30.9848441048,-8,44.5585829018,30.9848441048,0,0,True,28.2198135817,True,41.7935523787,True,72.7783964835,True,72.7783964835,True
positive_target_adequate,735,48,-16,-16,-8,-8,29.6170539286,-8,31.1364496919,29.6170539286,0,0,True,0,True,1.5193957633,True,31.1364496919,True,31.1364496919,True
positive_target_adequate,741,40,-1,-1,-1,-1,7.38431718846,-1,7.38431718846,7.38431718846,7.38431718846,0,True,0,True,0,True,0,True,7.38431718846,True
positive_target_adequate,758,24,-8,-8,-8,-8,34.2966635843,-8,34.2966635843,34.2966635843,0,0,True,0,True,0,True,34.2966635843,True,34.2966635843,True
positive_target_adequate,769,48,-32,-32,-32,-32,36.6684241779,-6,4.66763053139,4.66763053139,0,36.6684241779,True,52.6739338043,True,52.6739338043,True,57.3415643356,True,57.3415643356,True
positive_target_adequate,802,40,-24,-24,-24,-8,32.9766523077,-1,65.5896585995,48.2158759739,4.97166099161,0,True,21.8980539775,True,39.271836603,True,82.5160515854,True,87.487712577,True
positive_target_adequate,807,32,-8,-8,-8,-8,8.56802311152,-1,20.1872818922,20.1872818922,7.53261262207,0,True,0,True,0,True,12.6546692702,True,20.1872818922,True
positive_target_adequate,814,40,-16,-16,-16,-8,31.6022840482,-1,46.5556332523,33.8217561939,2.2194721457,0,True,0,True,12.7338770584,True,44.3361611066,True,46.5556332523,True
positive_target_adequate,832,32,-16,-16,-16,-8,31.6131615712,-7,54.2383923875,44.2182248172,0,0,True,0,True,10.0201675703,True,54.2383923875,True,54.2383923875,True
positive_target_adequate,836,32,-16,-16,-16,-7,39.1400534889,-7,95.4739993587,41.7937931769,0,0,True,0,True,53.6802061817,True,95.4739993587,True,95.4739993587,True
positive_target_adequate,841,32,-8,-8,-8,-8,43.5394475768,-1,52.4325414059,52.4325414059,8.89309382908,0,True,0,True,0,True,43.5394475768,True,52.4325414059,True
positive_target_adequate,850,48,-16,-16,-16,-8,24.7935357229,-1,57.6536363018,33.4542790924,8.66074336947,0,True,0,True,24.1993572094,True,48.9928929323,True,57.6536363018,True
positive_target_adequate,852,32,-8,-8,-8,-8,11.1163590438,-3,20.1743326035,20.1743326035,9.0579735597,0,True,0,True,0,True,11.1163590438,True,20.1743326035,True
