check,observed,expected,pass,detail
path_bank_mat_sha,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6,True,
ordered_bank_manifest_sha,a186e8d4ac870082d0925a05311ab8f4c5a0b70cb61b6fd06955a48a647b3941,a186e8d4ac870082d0925a05311ab8f4c5a0b70cb61b6fd06955a48a647b3941,True,
adopted_stage89k_target_sha,2fa1958944110701239a109ebf46d959324a351f2f27c1c3fbd62f333066eaa8,2fa1958944110701239a109ebf46d959324a351f2f27c1c3fbd62f333066eaa8,True,
path_count,10000,10000,True,
positive_target_partition,650+473,650+473=1123,True,
shortfall_partition,"{'pure_location': 203, 'mixed': 152, 'pure_quantity': 118}","{'pure_quantity': 118, 'pure_location': 203, 'mixed': 152}",True,
underdispatch_source_and_output,98,98,True,
inventory_pre_balance,1.0231815394945443e-12,<=1e-07,True,
inventory_end_balance,1.2931877790833823e-12,<=1e-07,True,
tank_capacity,265.225552971985,site-specific caps,True,
hourly_aggregate_HTT_capacity,-14.6321751040267,<=1e-07,True,
HTT_flow_conservation,1.0658141036401503e-13,<=1e-07,True,
no_zero_padding,285888,285888,True,
physical_rows,1065,1065,True,
physical_source_monotone,True,True,True,
information_probability_closure,8.881784197001252e-16,<=1e-12,True,
pure_location_expost_alignment,0.2950324726563119,0.295032472656,True,
information_and_expost_separate,True,True,True,
relative_time_n_reported,True,True,True,
no_optimizer_or_random,[],[],True,AST import/call scan
figure_count,13,13,True,
raw_hashes_unchanged,"{'path_summary/oos_path_summary.csv': '99ec55faba4e60e88b25d757deb1a8146515faf666d52979fe69c64362047502', 'path_summary/oos_stage_summary.csv': '969c373a9a2ff1b271cde6fda95a6fe8e64b10362518fe4b807c0dc86437c15d', 'path_summary/oos_stage_site_summary.csv': 'eab41bdf5d58fc971bc65af8c5745de3bd08cc25a0a4d44cc386aeba3f99c89e', 'hourly_site/oos_hour_site.csv': 'af3b3d5c4aa69e6d29b35a88008b4d82360c4b8391fc783141078f7ad68b0cda', 'grid_hourly/oos_hour_system.csv': 'b9eaa83ee3e8a720f3cb5afd5d54da050c2d3ef45c434efe74f8ba8b976b63c6', 'htt_od/oos_positive_htt_flows.csv': '06a6586574a155eb4588cae691898b3ebda509a79e14e64c8453918b7262fe4a'}","{'path_summary/oos_path_summary.csv': '99ec55faba4e60e88b25d757deb1a8146515faf666d52979fe69c64362047502', 'path_summary/oos_stage_summary.csv': '969c373a9a2ff1b271cde6fda95a6fe8e64b10362518fe4b807c0dc86437c15d', 'path_summary/oos_stage_site_summary.csv': 'eab41bdf5d58fc971bc65af8c5745de3bd08cc25a0a4d44cc386aeba3f99c89e', 'hourly_site/oos_hour_site.csv': 'af3b3d5c4aa69e6d29b35a88008b4d82360c4b8391fc783141078f7ad68b0cda', 'grid_hourly/oos_hour_system.csv': 'b9eaa83ee3e8a720f3cb5afd5d54da050c2d3ef45c434efe74f8ba8b976b63c6', 'htt_od/oos_positive_htt_flows.csv': '06a6586574a155eb4588cae691898b3ebda509a79e14e64c8453918b7262fe4a'}",True,
raw_hashes_accepted,"{'path_summary/oos_path_summary.csv': '99ec55faba4e60e88b25d757deb1a8146515faf666d52979fe69c64362047502', 'path_summary/oos_stage_summary.csv': '969c373a9a2ff1b271cde6fda95a6fe8e64b10362518fe4b807c0dc86437c15d', 'path_summary/oos_stage_site_summary.csv': 'eab41bdf5d58fc971bc65af8c5745de3bd08cc25a0a4d44cc386aeba3f99c89e', 'hourly_site/oos_hour_site.csv': 'af3b3d5c4aa69e6d29b35a88008b4d82360c4b8391fc783141078f7ad68b0cda', 'grid_hourly/oos_hour_system.csv': 'b9eaa83ee3e8a720f3cb5afd5d54da050c2d3ef45c434efe74f8ba8b976b63c6', 'htt_od/oos_positive_htt_flows.csv': '06a6586574a155eb4588cae691898b3ebda509a79e14e64c8453918b7262fe4a'}","{'path_summary/oos_path_summary.csv': '99ec55faba4e60e88b25d757deb1a8146515faf666d52979fe69c64362047502', 'path_summary/oos_stage_summary.csv': '969c373a9a2ff1b271cde6fda95a6fe8e64b10362518fe4b807c0dc86437c15d', 'path_summary/oos_stage_site_summary.csv': 'eab41bdf5d58fc971bc65af8c5745de3bd08cc25a0a4d44cc386aeba3f99c89e', 'hourly_site/oos_hour_site.csv': 'af3b3d5c4aa69e6d29b35a88008b4d82360c4b8391fc783141078f7ad68b0cda', 'grid_hourly/oos_hour_system.csv': 'b9eaa83ee3e8a720f3cb5afd5d54da050c2d3ef45c434efe74f8ba8b976b63c6', 'htt_od/oos_positive_htt_flows.csv': '06a6586574a155eb4588cae691898b3ebda509a79e14e64c8453918b7262fe4a'}",True,
