candidate,failure_type,hours_before_stage7,failure_type_paths,valid_real_checkpoint_paths,unrecoverable_count,recovered_count,monotonicity_violation_count,base_unrecoverable_count,recovery_gain,recovery_share
B0,pure_location,16,203,200,0,0,0,0,0,0
S1_125,pure_location,16,203,200,0,0,0,0,0,0
S2_125,pure_location,16,203,200,0,0,0,0,0,0
S3_125,pure_location,16,203,200,0,0,0,0,0,0
S4_125,pure_location,16,203,200,0,0,0,0,0,0
S1_150,pure_location,16,203,200,0,0,0,0,0,0
S2_150,pure_location,16,203,200,0,0,0,0,0,0
S3_150,pure_location,16,203,200,0,0,0,0,0,0
S4_150,pure_location,16,203,200,0,0,0,0,0,0
ALL_125,pure_location,16,203,200,0,0,0,0,0,0
ALL_150,pure_location,16,203,200,0,0,0,0,0,0
B0,pure_location,8,203,203,0,0,0,0,0,0
S1_125,pure_location,8,203,203,0,0,0,0,0,0
S2_125,pure_location,8,203,203,0,0,0,0,0,0
S3_125,pure_location,8,203,203,0,0,0,0,0,0
S4_125,pure_location,8,203,203,0,0,0,0,0,0
S1_150,pure_location,8,203,203,0,0,0,0,0,0
S2_150,pure_location,8,203,203,0,0,0,0,0,0
S3_150,pure_location,8,203,203,0,0,0,0,0,0
S4_150,pure_location,8,203,203,0,0,0,0,0,0
ALL_125,pure_location,8,203,203,0,0,0,0,0,0
ALL_150,pure_location,8,203,203,0,0,0,0,0,0
B0,pure_location,4,203,203,0,0,0,0,0,0
S1_125,pure_location,4,203,203,0,0,0,0,0,0
S2_125,pure_location,4,203,203,0,0,0,0,0,0
S3_125,pure_location,4,203,203,0,0,0,0,0,0
S4_125,pure_location,4,203,203,0,0,0,0,0,0
S1_150,pure_location,4,203,203,0,0,0,0,0,0
S2_150,pure_location,4,203,203,0,0,0,0,0,0
S3_150,pure_location,4,203,203,0,0,0,0,0,0
S4_150,pure_location,4,203,203,0,0,0,0,0,0
ALL_125,pure_location,4,203,203,0,0,0,0,0,0
ALL_150,pure_location,4,203,203,0,0,0,0,0,0
B0,mixed,16,152,152,31,0,0,31,0,0
S1_125,mixed,16,152,152,11,20,0,31,20,0.645161290323
S2_125,mixed,16,152,152,12,19,0,31,19,0.612903225806
S3_125,mixed,16,152,152,15,16,0,31,16,0.516129032258
S4_125,mixed,16,152,152,12,19,0,31,19,0.612903225806
S1_150,mixed,16,152,152,8,23,0,31,23,0.741935483871
S2_150,mixed,16,152,152,9,22,0,31,22,0.709677419355
S3_150,mixed,16,152,152,12,19,0,31,19,0.612903225806
