candidate,shortfall_paths,exact_first_unrecoverable_identifiable,shifted_path_count,mean_shift_hours,median_shift_hours,max_shift_hours,recovered_from_16h,recovered_from_8h,recovered_from_4h
B0,473,270,0,0,0,0,0,0,0
S1_125,473,270,166,1.38888888889,1,12,36,15,9
S2_125,473,270,151,1.02222222222,1,10,31,11,8
S3_125,473,270,108,0.592592592593,0,8,26,9,3
S4_125,473,270,126,0.774074074074,0,8,31,9,8
S1_150,473,270,186,2.54074074074,2,14,45,35,16
S2_150,473,270,179,1.88888888889,1,13,38,28,11
S3_150,473,270,159,1.19259259259,1,11,31,11,8
S4_150,473,270,166,1.38888888889,1,12,36,15,9
ALL_125,473,270,188,3.08148148148,2,15,52,46,20
ALL_150,473,270,212,4.8037037037,4,19,63,90,45
