candidate,tail_group,hours_before_stage7,tail_shortfall_paths,unrecoverable_count,recovered_count,base_unrecoverable_count,recovery_share
B0,difficult4,16,245,36,0,36,0
S1_125,difficult4,16,245,11,25,36,0.694444444444
S2_125,difficult4,16,245,12,24,36,0.666666666667
S3_125,difficult4,16,245,16,20,36,0.555555555556
S4_125,difficult4,16,245,12,24,36,0.666666666667
S1_150,difficult4,16,245,5,31,36,0.861111111111
S2_150,difficult4,16,245,9,27,36,0.75
S3_150,difficult4,16,245,12,24,36,0.666666666667
S4_150,difficult4,16,245,11,25,36,0.694444444444
ALL_125,difficult4,16,245,0,36,36,1
ALL_150,difficult4,16,245,0,36,36,1
B0,difficult4,8,245,93,0,93,0
S1_125,difficult4,8,245,78,15,93,0.161290322581
S2_125,difficult4,8,245,82,11,93,0.118279569892
S3_125,difficult4,8,245,84,9,93,0.0967741935484
S4_125,difficult4,8,245,84,9,93,0.0967741935484
S1_150,difficult4,8,245,59,34,93,0.365591397849
S2_150,difficult4,8,245,66,27,93,0.290322580645
S3_150,difficult4,8,245,82,11,93,0.118279569892
S4_150,difficult4,8,245,78,15,93,0.161290322581
ALL_125,difficult4,8,245,48,45,93,0.483870967742
ALL_150,difficult4,8,245,7,86,93,0.924731182796
B0,difficult4,4,245,104,0,104,0
S1_125,difficult4,4,245,95,9,104,0.0865384615385
S2_125,difficult4,4,245,96,8,104,0.0769230769231
S3_125,difficult4,4,245,101,3,104,0.0288461538462
S4_125,difficult4,4,245,96,8,104,0.0769230769231
S1_150,difficult4,4,245,88,16,104,0.153846153846
S2_150,difficult4,4,245,93,11,104,0.105769230769
S3_150,difficult4,4,245,96,8,104,0.0769230769231
S4_150,difficult4,4,245,95,9,104,0.0865384615385
ALL_125,difficult4,4,245,84,20,104,0.192307692308
ALL_150,difficult4,4,245,60,44,104,0.423076923077
B0,normal95,16,166,0,0,0,0
S1_125,normal95,16,166,0,0,0,0
S2_125,normal95,16,166,0,0,0,0
S3_125,normal95,16,166,0,0,0,0
S4_125,normal95,16,166,0,0,0,0
S1_150,normal95,16,166,0,0,0,0
S2_150,normal95,16,166,0,0,0,0
S3_150,normal95,16,166,0,0,0,0
S4_150,normal95,16,166,0,0,0,0
ALL_125,normal95,16,166,0,0,0,0
ALL_150,normal95,16,166,0,0,0,0
B0,normal95,8,166,1,0,1,0
S1_125,normal95,8,166,1,0,1,0
S2_125,normal95,8,166,1,0,1,0
S3_125,normal95,8,166,1,0,1,0
S4_125,normal95,8,166,1,0,1,0
S1_150,normal95,8,166,0,1,1,1
S2_150,normal95,8,166,0,1,1,1
S3_150,normal95,8,166,1,0,1,0
S4_150,normal95,8,166,1,0,1,0
ALL_125,normal95,8,166,0,1,1,1
ALL_150,normal95,8,166,0,1,1,1
B0,normal95,4,166,1,0,1,0
S1_125,normal95,4,166,1,0,1,0
S2_125,normal95,4,166,1,0,1,0
S3_125,normal95,4,166,1,0,1,0
S4_125,normal95,4,166,1,0,1,0
S1_150,normal95,4,166,1,0,1,0
S2_150,normal95,4,166,1,0,1,0
S3_150,normal95,4,166,1,0,1,0
S4_150,normal95,4,166,1,0,1,0
ALL_125,normal95,4,166,1,0,1,0
ALL_150,normal95,4,166,0,1,1,1
B0,extreme1,16,62,34,0,34,0
S1_125,extreme1,16,62,23,11,34,0.323529411765
S2_125,extreme1,16,62,27,7,34,0.205882352941
S3_125,extreme1,16,62,28,6,34,0.176470588235
S4_125,extreme1,16,62,27,7,34,0.205882352941
S1_150,extreme1,16,62,20,14,34,0.411764705882
S2_150,extreme1,16,62,23,11,34,0.323529411765
S3_150,extreme1,16,62,27,7,34,0.205882352941
S4_150,extreme1,16,62,23,11,34,0.323529411765
ALL_125,extreme1,16,62,18,16,34,0.470588235294
ALL_150,extreme1,16,62,7,27,34,0.794117647059
B0,extreme1,8,62,62,0,62,0
S1_125,extreme1,8,62,62,0,62,0
S2_125,extreme1,8,62,62,0,62,0
S3_125,extreme1,8,62,62,0,62,0
S4_125,extreme1,8,62,62,0,62,0
S1_150,extreme1,8,62,62,0,62,0
S2_150,extreme1,8,62,62,0,62,0
S3_150,extreme1,8,62,62,0,62,0
S4_150,extreme1,8,62,62,0,62,0
ALL_125,extreme1,8,62,62,0,62,0
ALL_150,extreme1,8,62,59,3,62,0.0483870967742
B0,extreme1,4,62,62,0,62,0
S1_125,extreme1,4,62,62,0,62,0
S2_125,extreme1,4,62,62,0,62,0
S3_125,extreme1,4,62,62,0,62,0
S4_125,extreme1,4,62,62,0,62,0
S1_150,extreme1,4,62,62,0,62,0
S2_150,extreme1,4,62,62,0,62,0
S3_150,extreme1,4,62,62,0,62,0
S4_150,extreme1,4,62,62,0,62,0
ALL_125,extreme1,4,62,62,0,62,0
ALL_150,extreme1,4,62,62,0,62,0
