candidate,candidate_type,expanded_site,multiplier,pmax_site1_kw,pmax_site2_kw,pmax_site3_kw,pmax_site4_kw,total_pmax_kw,added_kw,added_theoretical_kg_per_h,added_theoretical_8h_kg,recovered_paths_16h,recovered_paths_8h,recovered_paths_4h,recovery_events_3_checkpoints,pure_quantity_gain_sum_3_checkpoints,mixed_gain_sum_3_checkpoints,pure_location_gain_sum_3_checkpoints,difficult4_gain_sum_3_checkpoints,extreme1_gain_sum_3_checkpoints,RECOVERED_PATHS_PER_ADDED_KW,RECOVERED_PATHS_PER_ADDED_8H_KG,current_site_shortage_evidence,current_site_electrolyzer_binding_evidence,grid_hosting_signal,diagnostic_balance_score,BEST_TARGETED_CANDIDATE,BEST_UNIFORM_CANDIDATE
S1_125,TARGETED,1,1.25,375,200,120,150,845,75,1.4625,11.7,36,15,9,60,19,41,0,49,11,0.8,5.12820512821,0.524312896406,0.733747357294,NOT_IDENTIFIABLE,0.307770561706,NO,NO
S2_125,TARGETED,2,1.25,300,250,120,150,820,50,0.975,7.8,31,11,8,50,14,36,0,43,7,1,6.41025641026,0.441860465116,0.656712473573,NOT_IDENTIFIABLE,0.29017527902,NO,NO
S3_125,TARGETED,3,1.25,300,200,150,150,800,30,0.585,4.68,26,9,3,38,11,27,0,32,6,1.26666666667,8.11965811966,0.642706131078,0.582188160677,POTENTIALLY_VOLTAGE_LIMITED,0.47395614039,NO,NO
S4_125,TARGETED,4,1.25,300,200,120,187.5,807.5,37.5,0.73125,5.85,31,9,8,48,14,34,0,41,7,1.28,8.20512820513,0.672304439746,0.751717758985,NOT_IDENTIFIABLE,0.646890479106,YES,NO
S1_150,TARGETED,1,1.5,450,200,120,150,920,150,2.925,23.4,45,35,16,96,34,62,0,81,14,0.64,4.10256410256,0.524312896406,0.733747357294,NOT_IDENTIFIABLE,0.246216449365,NO,NO
S2_150,TARGETED,2,1.5,300,300,120,150,870,100,1.95,15.6,38,28,11,77,28,49,0,65,11,0.77,4.9358974359,0.441860465116,0.656712473573,NOT_IDENTIFIABLE,0.223434964846,NO,NO
S3_150,TARGETED,3,1.5,300,200,180,150,830,60,1.17,9.36,31,11,8,50,14,36,0,43,7,0.833333333333,5.34188034188,0.642706131078,0.582188160677,POTENTIALLY_VOLTAGE_LIMITED,0.311813250257,NO,NO
S4_150,TARGETED,4,1.5,300,200,120,225,845,75,1.4625,11.7,36,15,9,60,19,41,0,49,11,0.8,5.12820512821,0.672304439746,0.751717758985,NOT_IDENTIFIABLE,0.404306549441,NO,NO
ALL_125,UNIFORM,0,1.25,375,250,150,187.5,962.5,192.5,3.75375,30.03,52,46,20,118,37,81,0,101,16,0.612987012987,3.9294039294,0.672304439746,0.751717758985,POTENTIALLY_VOLTAGE_LIMITED,0.309793330091,NO,YES
ALL_150,UNIFORM,0,1.5,450,300,180,225,1155,385,7.5075,60.06,63,90,45,198,68,130,0,166,30,0.514285714286,3.2967032967,0.672304439746,0.751717758985,POTENTIALLY_VOLTAGE_LIMITED,0.259911353212,NO,NO
