metric,value
total_checked_hours,285888
unique_electrical_profiles,1244
hostable_hours,281842
non_hostable_hours,4046
hostable_ratio,0.9858476046563689
additional_headroom_q50_kw,37.5
additional_headroom_q90_kw,187.5
additional_headroom_q95_kw,187.5
additional_headroom_q99_kw,187.5
minimum_additional_headroom_kw,0.0
voltage_limited_hours,4046
branch_limited_hours,0
substation_limited_hours,0
minimum_resulting_voltage_pu,0.9
maximum_true_apparent_power_mva,4.969365746815464
maximum_octagon_utilization,0.8553057377665905
most_frequent_critical_bus,33
most_frequent_critical_branch,1
