metric,value
site1_full_increment_hostable_ratio,0.9858476046563689
site1_voltage_limited_ratio,0.014152395343631073
site1_branch_limited_ratio,0.0
site1_minimum_additional_headroom_kw,0.0
site1_median_additional_headroom_kw,218.574252504506
site2_full_increment_hostable_ratio,0.9852669576897246
site2_voltage_limited_ratio,0.014733042310275352
site2_branch_limited_ratio,0.0
site2_minimum_additional_headroom_kw,0.0
site2_median_additional_headroom_kw,250.0
site3_full_increment_hostable_ratio,0.9853229236624133
site3_voltage_limited_ratio,0.014677076337586747
site3_branch_limited_ratio,0.0
site3_minimum_additional_headroom_kw,0.0
site3_median_additional_headroom_kw,150.0
site4_full_increment_hostable_ratio,0.9858476046563689
site4_voltage_limited_ratio,0.014152395343631073
site4_branch_limited_ratio,0.0
site4_minimum_additional_headroom_kw,0.0
site4_median_additional_headroom_kw,37.5
total_checked_hours,285888
unique_electrical_profiles,1244
joint_nameplate_extra_capacity_requested_kw,192.5
joint_mean_increment_requested_from_realized_kw,611.944770215419
joint_mean_increment_feasible_kw,591.5800793160241
joint_mean_hosting_ratio,0.9630173862776531
full_candidate_stress_feasible_ratio,0.85345659838818
voltage_limited_ratio,0.14654340161182
branch_limited_ratio,0.0
substation_limited_ratio,0.0
minimum_resulting_voltage_pu,0.9
maximum_true_apparent_power_mva,5.051805905720711
maximum_octagon_utilization,0.8671427754750474
most_frequent_critical_bus,18
most_frequent_critical_branch,1
