metric,value
realized_PEL_min_kw,0.0
realized_PEL_q50_kw,0.0
realized_PEL_q90_kw,120.0
realized_PEL_q95_kw,120.0
realized_PEL_q99_kw,120.0
realized_PEL_max_kw,120.0
high_output_threshold_q90_kw,120.0
minimum_voltage_when_site3_high_output_pu,0.9
site3_plus30_full_hostable_ratio_all_hours,0.9853229236624133
site3_plus30_voltage_limited_ratio_all_hours,0.014677076337586747
site3_plus30_full_hostable_ratio_high_output,0.9992699282546779
site3_voltage_margin_q01_pu,0.0
site3_voltage_margin_q05_pu,0.004569946801538993
site3_voltage_margin_q50_pu,0.020397462410426948
site3_critical_bus_mode,18
site3_late_recovery_full_hostable_ratio,0.8390151515151515
site3_late_recovery_voltage_limited_ratio,0.16098484848484848
