role,relative_path,size_bytes,sha256,git_tracked
source,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\path_summary\oos_path_summary.csv,4203429,99ec55faba4e60e88b25d757deb1a8146515faf666d52979fe69c64362047502,False
source,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\path_summary\oos_stage_summary.csv,6516901,969c373a9a2ff1b271cde6fda95a6fe8e64b10362518fe4b807c0dc86437c15d,False
source,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\path_summary\oos_stage_site_summary.csv,17769929,eab41bdf5d58fc971bc65af8c5745de3bd08cc25a0a4d44cc386aeba3f99c89e,False
source,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\hourly_site\oos_hour_site.csv,256068531,af3b3d5c4aa69e6d29b35a88008b4d82360c4b8391fc783141078f7ad68b0cda,False
source,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\grid_hourly\oos_hour_system.csv,45445479,b9eaa83ee3e8a720f3cb5afd5d54da050c2d3ef45c434efe74f8ba8b976b63c6,False
source,data\yuanqi\near_stage_msp_input.mat,8934,536b25868e6d7cc812a331c0d3e0ffbd5f6958e6883bd39bcae3901c372abf24,True
source,hourly_grid_h2\build_integrated_hourly_stage_model_hourly_htt_v1_h2.m,9047,06375232f352ef8da038321703eca4a44ca20ddb5f5c3a46a8d4c79306718f77,False
source,hourly_grid_h2\update_integrated_hourly_stage_model_hourly_htt_v1_h2.m,2282,cd7e44e5fde0a08831f1b663040e9ee5346290d59003e1460e2f72619d21e49f,False
source,hourly_grid_h2\load_hourly_grid_data_h2.m,4804,a3e02ffdbee71f089b5417083693ab145a88fdbb2fcb167af13ca842d02e8c63,True
source,hourly_grid_h2\add_branch_capacity_octagon_h2.m,1003,eeaf2b4023d3bd369cf1a03c89f17eed19826b1f9b9a710d8b43890295cd5ddf,True
source,hourly_grid_h2\map_site_to_electrical_bus_h2.m,385,a9c385ab37d997264db0446217013ce5e1f6f2be414365e68ef229a2d8e4c102,True
script,hourly_grid_h2\analyze_stage89q_pmax_grid_hosting_audit.py,88476,a63154418cdea3ee3f62300a5121bd4ae72ebae2aac23398fcf686dfce67376a,True
script,hourly_grid_h2\audit_stage89q_pmax_grid_hosting.py,16323,1c73753d18980566393e91e0043be787448f485bec43df0bee80aa564ecdf6b1,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\01_model_audit\grid_hosting_model_audit.md,2850,5cd449fe654f83fa9f8a11aaf9cff2f647f854c747525c1ec0223290513b87a1,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\01_model_audit\hosting_label_thresholds.csv,466,3af076ee17c0f6ee426347de04be86c4faaf091dece277b19eb549b1bb6bbc22,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\01_model_audit\repository_preflight.csv,2060,1496bc0f9653b009d0c19b57326e28e0e039e001884a822d2e6b94df1c28e2a2,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\02_base_reproduction\base_grid_QA_reproduction.csv,1371,7a7886b6ef23ac56ac60c5d31d05825d4e89cac093cdf9407f947f41f313831a,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\03_s4_125\s4_125_hourly_hosting.csv,362156,4d415944fb849116b360cd5fc52a85582ffc36e013d0190b1498b17bba21c3b8,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\03_s4_125\s4_125_summary.csv,609,35f7da678e8a2cc619146c90876b025f7b7cfae4c04f757c163d92e322cce5bd,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\04_all_125\all_125_full_candidate_stress.csv,272127,07af5cd711a21bfe59eb772a22b25e083beb1b2c97dc6605066c91ad0c918054,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\04_all_125\all_125_joint_hosting.csv,371608,fd51b32f69f869e23aebd9b183ac0da40ab14df6fc5d610d8fe71f79011dc305,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\04_all_125\all_125_site_headroom.csv,1489051,1e34ab080d190709adb99be31612a18024e61168e280c41be9e1c5227c04d70e,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\04_all_125\all_125_summary.csv,1542,5fa6bb69c3fc0a2b7b65643d0a17d9eeea5fd3536b5d19f467951c1f2c4de06c,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\04_all_125\site3_bus18_incremental_hosting_audit.csv,737,b6a850c6781bff5a8b268fd77b112257c3a9439c3a11960c68212d1a0534e573,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\05_critical_window\critical_window_grid_hosting.csv,4550985,9ba61b78e923dc16ce68f267dce3f98b1cad913d495420cc9fcded52bafbd3b3,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\05_critical_window\critical_window_subset_identity.csv,712,3c08d4e518fca90dcc545b279d79c283561ee426b0e7896393ff821fc21ee829,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\05_critical_window\critical_window_summary.csv,4983,526fc64be897bee1353ede1c71f663559c76ab7341fff4966d1a85f76b60a09c,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\06_flexibility_vs_grid\pmax_gain_vs_grid_hosting.csv,580,1fd58401d851fbc5ea491144efd07d098fefe5203361bf77e5afe52eb120c34a,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\07_candidate_decision\candidate_grid_hosting_decision.csv,536,8ba748bd8d5b007bd53b85bdace6b622cb2b2af29e31d690006b20b293c161c8,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\07_candidate_decision\final_status.csv,572,42b07f7959a018508bc71bcd1676d764ebf72a5cc10dd0eb79d82fbbd6ce5207,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\18_pmax_grid_hosting_audit\08_summary\README.md,6422,22bf9919592149dd6d631f8d9f5167bc93fc5fd09f6b6316538b5dd1603a1430,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\12_penalty1000_pmax_grid_hosting\01_S4_125增量headroom分布.png,64283,b3738b6176260fb8f2220544c9a1cfe04304d52de49c12463d75d14f43d1dbc5,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\12_penalty1000_pmax_grid_hosting\02_S4_125关键窗口hosting.png,77387,59472eec7c2d6b425a2ccd6b42c257bfcd440ceca8c69be81560c573b6a84e48,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\12_penalty1000_pmax_grid_hosting\03_ALL_125四站增量headroom.png,49839,8149c8460be0d3cfa5eeedd3a80ca99550dcab526f79414b8dc43f4b3ac09de6,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\12_penalty1000_pmax_grid_hosting\04_ALL_125_joint_hosting.png,125332,a10f383ef0514b3eb7d900c076982720deb76ad96c55e7620c5c98a8aeccb0d7,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\12_penalty1000_pmax_grid_hosting\05_candidate_full_stress可行性.png,53860,d14954e951d36387e3d96e15053ba65dd502246bf856fb4df5be64432b39b20b,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\12_penalty1000_pmax_grid_hosting\06_voltage_margin分布.png,52901,887b9ba6391e4fbeae35b4cf9dc4e08bca100c0b17b81f419f1ae71ccd7e1271,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\12_penalty1000_pmax_grid_hosting\07_Site3_bus18_hosting.png,111706,3eb70d7c31818e93c8965e977b3f53620688ec1e16229d8d7570821e21600665,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\12_penalty1000_pmax_grid_hosting\08_critical_bus频次.png,38433,75976f9e337a6c7774449293e36a079357d4aef2a88d13317a0ef2e6407da2ed,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\12_penalty1000_pmax_grid_hosting\09_critical_branch频次.png,45329,213e60b0822386247f097d38fca2e13d02af08323bee71035f7126b417a4604a,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\12_penalty1000_pmax_grid_hosting\10_difficult_tail_hosting.png,41874,66638d664e938cea85120199a76beb01b0aba84affebde978b2100e50dbe7307,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\12_penalty1000_pmax_grid_hosting\11_physical_flexibility_gain_vs_grid_hosting.png,69307,7c168271c83cebb8da770ff8e74ecd086b2e87b07086d38b2f81951d04b09a2d,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\12_penalty1000_pmax_grid_hosting\12_candidate_grid_hosting总结.png,80394,c6ef1117dbcfecf73d1e2661a25445391e803beb1baa46d4dcca1b3b39d2ab5c,True
artifact,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\12_penalty1000_pmax_grid_hosting\contact_sheet.png,237701,dc44964f57813ab8a3749fa37d43b79f1382aed815b032adde36d49a93efb233,True
