path_id,checkpoint_relative_hour,failure_type,arrival_stage,final_intensity,final_location,final_gap,tail_group,current_inventory_kg,target_total_kg,real_remaining_hour_count,expected_remaining_hour_count,nominal_extra_energy_kWh,nominal_extra_H2_kg,grid_hostable_extra_energy_kWh,grid_hostable_extra_H2_kg,required_extra_H2_kg,required_extra_electrical_energy_kWh,required_alpha,required_added_Pmax_kW,grid_supported_average_incremental_capability_kW,grid_aware_evaluator_margin_kg,recovery_margin_kg,full_increment_hostable_ratio_remaining,minimum_hourly_extra_headroom_kW,grid_clipped_hours,critical_bus,minimum_voltage_margin,hydrogen_side_recovered,grid_aware_identifiable,grid_aware_recovery_supported,cumulative_kg_cross_check_supported,classification
152,-16,mixed,5,4,4,63.1664616747,difficult4,182.014475204,423.861526765,16,16,600,11.7,450,8.775,1.607051461,82.4128954359,0.137354825726,5.15080596474,28.125,7.167948439,7.167948539,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
467,-16,mixed,5,4,4,62.9448956867,difficult4,182.014475204,423.861526765,16,16,600,11.7,450,8.775,1.607051461,82.4128954359,0.137354825726,5.15080596474,28.125,7.167948439,7.167948539,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
488,-16,mixed,5,4,4,91.9948037838,difficult4,182.014475204,423.861526765,16,16,600,11.7,450,8.775,1.607051461,82.4128954359,0.137354825726,5.15080596474,28.125,7.167948439,7.167948539,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
518,-16,pure_quantity,5,5,4,109.586929435,extreme1,302.134475204,546.93138762,16,16,600,11.7,562.5,10.96875,4.556912316,233.687811077,0.389479685128,14.6054881923,35.15625,6.411837584,6.411837684,0.9375,4.32009983342e-12,1,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
643,-16,mixed,5,5,2,51.8374642806,difficult4,302.134475204,543.056863022,16,16,600,11.7,450,8.775,0.682387718,34.9942419487,0.0583237365812,2.1871401218,28.125,8.092612182,8.092612282,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
801,-16,pure_quantity,5,4,4,91.5661112779,difficult4,182.014475204,423.861526765,16,16,600,11.7,450,8.775,1.607051461,82.4128954359,0.137354825726,5.15080596474,28.125,7.167948439,7.167948539,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
1165,-16,pure_quantity,5,4,4,188.294045631,extreme1,182.014475204,423.861526765,16,16,600,11.7,600,11.7,1.607051461,82.4128954359,0.137354825726,5.15080596474,37.5,10.092948439,10.092948539,1,37.5,0,18,0.00215974758658,YES,YES,YES,YES,FULL_INCREMENT_HOSTABLE_AND_SUPPORTED
1320,-16,pure_quantity,5,4,4,191.219045631,extreme1,182.014475204,423.861526765,16,16,600,11.7,600,11.7,1.607051461,82.4128954359,0.137354825726,5.15080596474,37.5,10.092948439,10.092948539,1,37.5,0,18,0.00215974758658,YES,YES,YES,YES,FULL_INCREMENT_HOSTABLE_AND_SUPPORTED
1666,-16,mixed,5,5,2,57.1249121551,difficult4,302.134475204,543.056863022,16,16,600,11.7,450,8.775,0.682387718,34.9942419487,0.0583237365812,2.1871401218,28.125,8.092612182,8.092612282,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
2000,-16,pure_quantity,5,4,4,160.561358653,extreme1,182.014475204,423.861526765,16,16,600,11.7,600,11.7,1.607051461,82.4128954359,0.137354825726,5.15080596474,37.5,10.092948439,10.092948539,1,37.5,0,18,0.0115296296119,YES,YES,YES,YES,FULL_INCREMENT_HOSTABLE_AND_SUPPORTED
