section,metric,value,unit
distribution,min,37.5,kW
distribution,median,37.5,kW
distribution,q75,37.5,kW
distribution,q90,37.5,kW
distribution,q95,37.5,kW
distribution,q99,37.5,kW
distribution,max,37.5,kW
distribution,mean,37.5,kW
descriptive_bin,0-5_kW,0,path-hour
descriptive_bin,5-10_kW,0,path-hour
descriptive_bin,10-20_kW,0,path-hour
descriptive_bin,>20_kW,131,path-hour
coverage,critical_final16_real_hours,704,path-hour
coverage,full_increment_nonhostable_hours,131,path-hour
coverage,full_increment_nonhostable_ratio,0.186079545455,ratio
coverage,clipped_event_hour_pairs_with_supported_recovery,95,event-hour
coverage,unique_clipped_path_hours_in_supported_event_windows,95,path-hour
coverage,events_with_any_clipping,35,event
coverage,partially_clipped_but_still_supported_events,26,event
