status,value
S4_125_H2_SIDE_RECOVERY_SIGNAL,STRONG
S4_125_GRID_AWARE_RECOVERY_RETENTION,STRONG
S4_125_VOLTAGE_CLIPPING_IMPACT,MODERATE
S4_125_CRITICAL_WINDOW_GRID_SUPPORT,STRONG
S4_125_BUS18_RECOVERY_LOSS_SIGNAL,MODERATE
RECOMMEND_FRESH_S4_125_ZERO_CUT_SMOKE,YES
DIAGNOSTIC_SCOPE,FROZEN_BASE_BACKGROUND_GRID_AWARE_PHYSICAL_RECOVERABILITY
FRESH_POLICY_COUNTERFACTUAL,NO
GRID_LP_RERUN,NO
NO_FA_MSP_TRAINING,YES
NO_FORWARD_BACKWARD_CUTS,YES
NO_OOS_RERUN,YES
NO_PARAMETER_WRITEBACK,YES
ALL_125_STARTED,NO
PENALTY1500_STARTED,NO
FULLY_CONVERGED,NO
