path_id,checkpoint_relative_hour,failure_type,tail_group,site,site_increment_kw,all125_recovered,ablated_candidate_total_increment_kw,ablated_physical_margin_kg,recovery_survives_site_ablation,increment_necessary,contribution_class,diagnostic_scope
152,-16,mixed,difficult4,1,75,YES,117.5,35.052948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
326,-16,pure_quantity,extreme1,1,75,YES,117.5,-1.668117493,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
467,-16,mixed,difficult4,1,75,YES,117.5,35.052948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
488,-16,mixed,difficult4,1,75,YES,117.5,35.052948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
518,-16,pure_quantity,extreme1,1,75,YES,117.5,32.103087584,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
643,-16,mixed,difficult4,1,75,YES,117.5,35.977612182,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
801,-16,pure_quantity,difficult4,1,75,YES,117.5,35.052948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
904,-16,pure_quantity,difficult4,1,75,YES,117.5,-0.617690916,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
1165,-16,pure_quantity,extreme1,1,75,YES,117.5,35.052948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
1313,-16,mixed,difficult4,1,75,YES,117.5,-19.161553407,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
1320,-16,pure_quantity,extreme1,1,75,YES,117.5,35.052948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
1628,-16,pure_quantity,extreme1,1,75,YES,117.5,-14.970519397,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
1666,-16,mixed,difficult4,1,75,YES,117.5,35.977612182,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
2000,-16,pure_quantity,extreme1,1,75,YES,117.5,35.052948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
2052,-16,mixed,difficult4,1,75,YES,117.5,32.103087584,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
2103,-16,mixed,difficult4,1,75,YES,117.5,35.977612182,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
2268,-16,pure_quantity,extreme1,1,75,YES,117.5,13.346882507,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
2316,-16,pure_quantity,extreme1,1,75,YES,117.5,4.571882507,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
2420,-16,mixed,difficult4,1,75,YES,117.5,-14.970519397,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
2435,-16,pure_quantity,difficult4,1,75,YES,117.5,32.103087584,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
2467,-16,mixed,difficult4,1,75,YES,117.5,26.706511555,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
2501,-16,mixed,difficult4,1,75,YES,117.5,32.908044551,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
2962,-16,mixed,extreme1,1,75,YES,117.5,-18.290925286,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
3349,-16,pure_quantity,difficult4,1,75,YES,117.5,26.706511555,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
3724,-16,pure_quantity,extreme1,1,75,YES,117.5,3.415140646,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
3909,-16,pure_quantity,extreme1,1,75,YES,117.5,13.346882507,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
4007,-16,pure_quantity,difficult4,1,75,YES,117.5,35.052948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
4689,-16,pure_quantity,difficult4,1,75,YES,117.5,3.415140646,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
4711,-16,mixed,difficult4,1,75,YES,117.5,26.706511555,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
4723,-16,pure_quantity,extreme1,1,75,YES,117.5,35.052948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
5152,-16,mixed,difficult4,1,75,YES,117.5,13.346882507,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
5212,-16,mixed,difficult4,1,75,YES,117.5,7.496882507,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
5265,-16,pure_quantity,extreme1,1,75,YES,117.5,13.346882507,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
5592,-16,pure_quantity,extreme1,1,75,YES,117.5,16.271882507,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
5685,-16,pure_quantity,difficult4,1,75,YES,117.5,35.052948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
6098,-16,mixed,difficult4,1,75,YES,117.5,35.977612182,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
6260,-16,pure_quantity,difficult4,1,75,YES,117.5,3.415140646,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
6266,-16,mixed,difficult4,1,75,YES,117.5,32.103087584,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
6663,-16,mixed,difficult4,1,75,YES,117.5,35.977612182,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
6698,-16,mixed,difficult4,1,75,YES,117.5,-15.920043995,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
6960,-16,mixed,difficult4,1,75,YES,117.5,-14.970519397,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
7564,-16,mixed,difficult4,1,75,YES,117.5,-15.148824541,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
7669,-16,mixed,difficult4,1,75,YES,117.5,32.103087584,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
7786,-16,mixed,difficult4,1,75,YES,117.5,26.706511555,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
7862,-16,mixed,difficult4,1,75,YES,117.5,35.052948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
8332,-16,pure_quantity,extreme1,1,75,YES,117.5,35.052948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
8716,-16,mixed,difficult4,1,75,YES,117.5,32.103087584,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
8747,-16,mixed,difficult4,1,75,YES,117.5,35.052948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
8916,-16,mixed,difficult4,1,75,YES,117.5,-1.668117493,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
9063,-16,mixed,difficult4,1,75,YES,117.5,7.496882507,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
9428,-16,pure_quantity,extreme1,1,75,YES,117.5,26.706511555,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
9825,-16,mixed,difficult4,1,75,YES,117.5,35.977612182,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
201,-8,pure_quantity,difficult4,1,75,YES,117.5,2.870413075,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
459,-8,pure_quantity,difficult4,1,75,YES,117.5,6.727024047,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
668,-8,pure_quantity,difficult4,1,75,YES,117.5,3.52374371,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
766,-8,pure_quantity,difficult4,1,75,YES,117.5,2.870413075,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
783,-8,mixed,difficult4,1,75,YES,117.5,18.171080929,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
869,-8,mixed,difficult4,1,75,YES,117.5,17.796565219,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
1057,-8,mixed,difficult4,1,75,YES,117.5,-0.747297272,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
1432,-8,mixed,difficult4,1,75,YES,117.5,16.722948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
1655,-8,mixed,difficult4,1,75,YES,117.5,-9.39114535,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
2414,-8,mixed,difficult4,1,75,YES,117.5,-5.889021096,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
2419,-8,mixed,difficult4,1,75,YES,117.5,2.870413075,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
2676,-8,mixed,difficult4,1,75,YES,117.5,-5.889021096,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
2829,-8,mixed,difficult4,1,75,YES,117.5,0.341215299,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
2916,-8,mixed,difficult4,1,75,YES,117.5,-2.964021096,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
3269,-8,mixed,difficult4,1,75,YES,117.5,17.370294789,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
3381,-8,mixed,difficult4,1,75,YES,117.5,14.871565219,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
3911,-8,pure_quantity,difficult4,1,75,YES,117.5,2.870413075,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
3951,-8,pure_quantity,difficult4,1,75,YES,117.5,16.722948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
3997,-8,mixed,difficult4,1,75,YES,117.5,16.722948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
4075,-8,pure_quantity,difficult4,1,75,YES,117.5,-5.892283694,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
4329,-8,mixed,normal95,1,75,YES,117.5,2.870413075,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
4448,-8,mixed,difficult4,1,75,YES,117.5,-5.889021096,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
4674,-8,mixed,difficult4,1,75,YES,117.5,-2.964021096,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
4711,-8,mixed,difficult4,1,75,YES,117.5,2.924445908,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
4744,-8,mixed,difficult4,1,75,YES,117.5,-8.083767181,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
5334,-8,mixed,difficult4,1,75,YES,117.5,2.870413075,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
5444,-8,pure_quantity,difficult4,1,75,YES,117.5,2.870413075,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
5557,-8,mixed,difficult4,1,75,YES,117.5,-2.964021096,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
6098,-8,mixed,difficult4,1,75,YES,117.5,12.195546535,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
6257,-8,pure_quantity,difficult4,1,75,YES,117.5,2.870413075,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
6266,-8,mixed,difficult4,1,75,YES,117.5,8.321021937,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
6526,-8,pure_quantity,difficult4,1,75,YES,117.5,2.870413075,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
7541,-8,mixed,difficult4,1,75,YES,117.5,-5.889021096,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
7623,-8,mixed,difficult4,1,75,YES,117.5,-5.889021096,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
7669,-8,mixed,difficult4,1,75,YES,117.5,8.321021937,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
8061,-8,mixed,difficult4,1,75,YES,117.5,-0.955686672,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
8138,-8,mixed,difficult4,1,75,YES,117.5,-5.889021096,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
8440,-8,mixed,difficult4,1,75,YES,117.5,16.722948439,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
8611,-8,mixed,difficult4,1,75,YES,117.5,-7.572297272,NO,YES,ESSENTIAL,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
8716,-8,mixed,difficult4,1,75,YES,117.5,8.321021937,YES,NO,PARTIALLY_SUBSTITUTABLE,SAME_AGGREGATE_PHYSICAL_RECOVERABILITY_EVALUATOR
