status,value
ALL_125_H2_SIDE_RECOVERY_SIGNAL,STRONG
ALL_125_GRID_AWARE_RECOVERY_RETENTION,STRONG
ALL_125_VOLTAGE_CLIPPING_IMPACT,MODERATE
ALL_125_CRITICAL_WINDOW_GRID_SUPPORT,STRONG
ALL_125_BUS18_RECOVERY_LOSS_SIGNAL,MODERATE
RECOMMEND_FRESH_ALL_125_ZERO_CUT_SMOKE,NEEDS_MORE_GRID_DIAGNOSTIC
GRID_AWARE_PILOT_PRIORITY,S4_125
DIAGNOSTIC_SCOPE,FROZEN_BASE_BACKGROUND_JOINT_GRID_AWARE_PHYSICAL_RECOVERABILITY
THIS_IS_NOT_FA_MSP_REOPTIMIZATION,YES
THIS_IS_PHYSICAL_FEASIBILITY_DIAGNOSTIC_ONLY,YES
FRESH_POLICY_COUNTERFACTUAL,NO
ISOLATED_JOINT_GRID_LP_REPLAY,YES
INDEPENDENT_SITE_HEADROOMS_SUMMED,NO
NO_FA_MSP_TRAINING_FORWARD_BACKWARD_CUTS_OOS,YES
NO_PARAMETER_WRITEBACK,YES
SMOKE_STARTED,NO
PENALTY1500_STARTED,NO
