check,observed,expected,source,pass
raw_hash_oos_path_summary.csv,99ec55faba4e60e88b25d757deb1a8146515faf666d52979fe69c64362047502,99ec55faba4e60e88b25d757deb1a8146515faf666d52979fe69c64362047502,raw bytes,True
raw_hash_oos_stage_summary.csv,969c373a9a2ff1b271cde6fda95a6fe8e64b10362518fe4b807c0dc86437c15d,969c373a9a2ff1b271cde6fda95a6fe8e64b10362518fe4b807c0dc86437c15d,raw bytes,True
raw_hash_oos_stage_site_summary.csv,eab41bdf5d58fc971bc65af8c5745de3bd08cc25a0a4d44cc386aeba3f99c89e,eab41bdf5d58fc971bc65af8c5745de3bd08cc25a0a4d44cc386aeba3f99c89e,raw bytes,True
raw_hash_oos_hour_site.csv,af3b3d5c4aa69e6d29b35a88008b4d82360c4b8391fc783141078f7ad68b0cda,af3b3d5c4aa69e6d29b35a88008b4d82360c4b8391fc783141078f7ad68b0cda,raw bytes,True
raw_hash_oos_hour_system.csv,b9eaa83ee3e8a720f3cb5afd5d54da050c2d3ef45c434efe74f8ba8b976b63c6,b9eaa83ee3e8a720f3cb5afd5d54da050c2d3ef45c434efe74f8ba8b976b63c6,raw bytes,True
formal_hash,536b25868e6d7cc812a331c0d3e0ffbd5f6958e6883bd39bcae3901c372abf24,536b2586...,formal MAT,True
formal_k_h2,0.0195,0.0195,formal MAT,True
formal_base_pmax,"[300, 200, 120, 150]","[300.0, 200.0, 120.0, 150.0]",formal MAT,True
formal_tank_caps,"[300, 200, 100, 150]","[300, 200, 100, 150]",formal MAT,True
base_-16h,70,70,physical baseline,True
base_-8h,156,156,physical baseline,True
base_-4h,167,167,physical baseline,True
ALL_recovered_-16h,52,52,physical event source,True
ALL_recovered_-8h,46,46,physical event source,True
ALL_recovered_-4h,20,20,physical event source,True
ALL_unrecoverable_-16h,18,18,physical event source,True
ALL_unrecoverable_-8h,110,110,physical event source,True
ALL_unrecoverable_-4h,147,147,physical event source,True
