candidate,path_id,checkpoint_relative_hour,failure_type,tail_group,grid_aware_recovery_supported,classification,critical_bus,grid_clipped_hours,minimum_voltage_margin,grid_aware_recovery_margin_kg
B1000,152,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,15.942948439
B1000,459,-8,pure_quantity,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00892030354892,0.097024047
B1000,467,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,15.942948439
B1000,488,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,15.942948439
B1000,518,-16,pure_quantity,extreme1,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,1,0,17.380587584
B1000,643,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,16.867612182
B1000,783,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00892030354892,11.541080929
B1000,783,-4,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00892030354892,0.109200121
B1000,801,-16,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,15.942948439
B1000,869,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,11.166565219
B1000,869,-4,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.0183902000468,5.316565219
B1000,965,-4,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00892030354892,2.931648242
B1000,1165,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,21.792948439
B1000,1320,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,21.792948439
B1000,1432,-8,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,4.242948439
B1000,1432,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-2.899620517
B1000,1580,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-2.303203843
B1000,1666,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,16.867612182
B1000,2000,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.0117813728614,21.792948439
B1000,2052,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,12.993087584
B1000,2103,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,16.867612182
B1000,2268,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,0.086882507
B1000,2435,-16,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,12.993087584
B1000,2467,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,1,0,11.984011555
B1000,2501,-16,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,19.648044551
B1000,3269,-8,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,4.890294789
B1000,3349,-16,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,7.596511555
B1000,3381,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,8.241565219
B1000,3909,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,0.086882507
B1000,3951,-8,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,1,0,8.630448439
B1000,3997,-8,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,4.242948439
B1000,3997,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-2.899620517
