figure,title,sample,source_csv,bytes,sha256
01_正目标超额不足完整分布.png,正目标路径的最终超额与不足完整分布,1123条正目标Stage7路径,01_surplus_timing/surplus_build_timing.csv;02_shortfall_timing/shortfall_build_timing.csv,55939,5060151046448555df745dded92a575d006877c6b9133bd9fc00c6da8038c791
02_正目标超额分箱.png,正目标达标路径超额分箱,650条正目标达标路径,01_surplus_timing/surplus_timing_group_summary.csv,61677,a0257b3c6c70decaaa03825a0d04a5e458ec40583724f31210b87ddad8279c73
03_达标与不足最后24h库存.png,达标与不足路径最后24小时库存,650条达标、473条不足；不补0,02_shortfall_timing/adequate_vs_shortfall_last24h_profile.csv,99915,f888a1d99e101b9998cb1ebb4ddb5060eda126f301015270e0c1e9c5b53fe35e
04_高超额与不足最后24h制氢.png,高超额与不足路径最后24小时制氢,520条超额>100kg、473条不足,02_shortfall_timing/adequate_vs_shortfall_last24h_profile.csv,108117,cb886f3369c6a51485a71cbe3f83e47b4a5a8cb1471fc422ea108f812a5016e1
05_到达阶段与不足率.png,到达Stage7时间与正目标不足率,1123条正目标路径,02_shortfall_timing/shortfall_by_arrival_stage.csv,69031,ca1d5104aa2cef29357311c6aed1a72c114b76b4c7cd2949173fb2e40abf8125
06_四站缺口频率.png,四站缺口频率,473条正目标不足路径,04_site_mismatch/site_mismatch_od_summary.csv,48622,569f8b44035bb8f983012a6894bfa7cead814265f54e1784202cbc376ff66c17
07_站点错配组合.png,富余站到缺口站的错配组合,203条纯位置不足路径,04_site_mismatch/site_mismatch_od_summary.csv,64145,5dfc59b31074d6ecb23ef85bc6e43b238379ce0d1cc7fcae8dde1b99f37ba12a
08_HTT机制分类.png,HTT机制分类：事后方向与当时可证结论分开,203条纯位置不足路径,05_htt_mechanism/htt_mechanism_classification_summary.csv,49170,27e8156b9e3f7c7dd97d9b4da1c90bd38b2e6596d6f2c38ca463170c39913def
09_四站电解槽负荷.png,四站电解槽负荷,650条达标、473条不足路径最后16小时,06_electrolyzer/electrolyzer_utilization_by_site_group.csv,54409,3d072f7f9c91790d78ca1e6977e8fbbecaa4ec6800820add3f59ff8e539b9574
10_普通缺氢最终储备四象限.png,普通缺氢与最终储备四象限,6124条Stage7路径,08_ordinary_vs_reserve/ordinary_shortage_terminal_quadrants.csv,58721,eb9bbf05783613ee0bf90b1d4fdd1197cc53a8c58d15e3c8361f14c41dbcfb9f
11_超额库存与成本.png,超额库存与实际运行成本（相关不等于因果）,650条正目标达标路径,09_economics/surplus_cost_correlations.csv,141069,e61410b53616ab872a7e9bfd1592301c62721df3508485a34810eea95c8c6ed6
12_路径类型实际成本.png,各路径类型实际运行成本,15个预定义路径组,09_economics/economics_by_mechanism_path_type.csv,103234,1f64acaebf6954ab95f00b449ecfb24eb257b16f91b659e8ab56c399f850c19c
13_消散路径预防库存.png,事后观察到的预防性库存,3497条物理消散路径,10_dissipation/dissipation_mechanism_summary.csv,47787,cc2df2ef32d4e78bf42e507068eddbc3b01ba8a8517b98879433912a83139e6f
14_尾部机制对比.png,95%/4%/1%机制对比,6124条Stage7路径,11_tail/tail_mechanism_profile.csv,91742,beee2c22b6476835aedb4b6ebb624e532a1c899452b422a1638fe481999c1a1a
15_path3909时间线.png,最严重不足路径3909时间线,path 3909,12_case_studies/case_study_hourly_timeline.csv,223027,4759072393a1af7abaf86541ceb0722da6e91db21d348852105db8eae6c89b59
16_超额200kg典型路径.png,超额超过200kg典型路径1101,path 1101,12_case_studies/case_study_hourly_timeline.csv,216140,6c7f0a6db52beb8ce8edec2ad4c5a4ac54fbca0fa56708a6932e49e1d3ffaea5
17_纯位置不足典型路径.png,纯位置不足典型路径1897,path 1897,12_case_studies/case_study_hourly_timeline.csv,225815,b63c412949704c0e0ad256358a1ba0e7027ad4c85a45fae8a520b4ee15252621
18_最终机制总结.png,penalty=1000两极化机制总结,正式10000-path OOS,13_summary/mechanism_deep_dive_summary.csv,117870,a1d9447c8c1e2bcd9c10e6ae9809ea76db097d3674548d9208d13b32d51d7bfd
