candidate,stage,hour_in_stage,global_hour,Vmin_pu,critical_bus,bus18_voltage_pu,voltage_binding,max_line_mva,critical_line,line_utilization,branch_binding,substation_import_kW,substation_utilization,substation_binding,HTT_kg,HTT_capacity_kg,HTT_utilization
ARM-B0001,1,1,1,0.911529629611861,18,0.911529629611861,0,4.12988724533765,1,0.688314540889609,0,3716.50103,0.761027582506916,0,0,160,0
ARM-B0001,1,2,2,0.915515937764595,18,0.915515937764595,0,3.93339839836975,1,0.655566399728291,0,3548.5013,0.726626292866021,0,0,160,0
ARM-B0001,1,3,3,0.916817228836656,18,0.916817228836656,0,3.86909530340954,1,0.644849217234923,0,3493.500725,0.715363830057356,0,0,160,0
ARM-B0001,1,4,4,0.918140268861613,18,0.918140268861613,0,3.8036372702691,1,0.63393954504485,0,3437.500815,0.703896733510391,0,0,160,0
ARM-B0001,1,5,5,0.918942607567268,18,0.918942607567268,0,3.76390210657004,1,0.627317017761673,0,3403.501135,0.696934622086892,0,0,160,0
ARM-B0001,1,6,6,0.920780645828514,18,0.920780645828514,0,3.67276470710243,1,0.612127451183738,0,3325.500995,0.680962540416461,0,0,160,0
ARM-B0001,1,7,7,0.932460651549523,18,0.932460651549523,0,3.4271250710734,1,0.571187511845567,0,3069.501085,0.628541461811436,0,0,160,0
ARM-B0001,1,8,8,0.935040296279172,33,0.937421663930205,0,3.51710903473011,1,0.586184839121685,0,3117.500815,0.638370362217494,0,0,160,0
ARM-B0001,2,1,9,0.933695183382614,18,0.933695183382614,0,3.49001019097837,1,0.581668365163062,0,2964.025855,0.606943308426487,0,0,160,0
ARM-B0001,2,2,10,0.934506838151662,18,0.934506838151662,0,3.47082660621506,1,0.578471101035844,0,2941.413855,0.602313051215002,0,0,160,0
ARM-B0001,2,3,11,0.932348215697739,18,0.932348215697739,0,3.62045027682417,1,0.603408379470696,0,3057.01027,0.625983718744433,0,0,160,0
ARM-B0001,2,4,12,0.932029559840564,18,0.932029559840564,0,3.69865614117145,1,0.616442690195241,0,3105.46369,0.635905521211091,0,0,160,0
ARM-B0001,2,5,13,0.931940611513906,33,0.932031097678759,0,3.73411946633581,1,0.622353244389301,0,3125.218,0.639950609497638,0,0,160,0
ARM-B0001,2,6,14,0.93136217871749,33,0.932999291691874,0,3.77598811848273,1,0.629331353080456,0,3133.996105,0.641748101271007,0,0,160,0
ARM-B0001,2,7,15,0.934351791079408,33,0.93679221777158,0,3.62379850356587,1,0.603966417260978,0,2992.5332,0.612780754904751,0,0,160,0
ARM-B0001,2,8,16,0.933579509550005,33,0.93526856944726,0,3.65900271030544,1,0.609833785050907,0,3035.0684,0.621490683992931,0,0,160,0
ARM-B0001,3,1,17,0.933475249017343,33,0.934353864330492,0,3.65851472983338,1,0.60975245497223,0,3048.55112,0.624251539357801,0,0,160,0
