candidate,issue,status,iteration,stage,site,hour/path,numeric_evidence,log_location
ARM-B0001,model infeasibility,NO,,,1-4,fixed six-stage diagnostic path,all training and diagnostic solves completed,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,hourly grid infeasibility,NO,,1-6,1-4,fixed six-stage diagnostic path,minimum voltage 0.911291329 p.u.; no solve failure,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,new voltage bottleneck,NO,,,1-4,fixed six-stage diagnostic path,binding=False; fresh Base was not retrained,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,new branch bottleneck,NO,,,1-4,fixed six-stage diagnostic path,max utilization=0.746934403,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,substation bottleneck,NO,,,1-4,fixed six-stage diagnostic path,max utilization=0.816724869,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,tank saturation,NO,,1-6,1-4,fixed six-stage diagnostic path,binding hits=0; near-capacity hours=0,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,abnormal ordinary shortage,NO,,,1-4,fixed six-stage diagnostic path,diagnostic shortage=0 kg,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,abnormal HTT behavior,NO,,1-6,1-4,fixed six-stage diagnostic path,max utilization=0.027236666,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,NaN / Inf,NO,,,1-4,fixed six-stage diagnostic path,all saved numerical_finite flags true,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,numerical instability,NO,,,1-4,fixed six-stage diagnostic path,no blocking solver or residual failure,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,abnormal LB movement,NOT_IDENTIFIABLE,1-10,,1-4,fixed six-stage diagnostic path,10 iterations are not a convergence experiment,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,cut explosion,NO,,,1-4,fixed six-stage diagnostic path,final cut count=10510,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,abnormal runtime growth,NOT_IDENTIFIABLE,,,1-4,fixed six-stage diagnostic path,10 iterations only,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,abnormal memory growth,NOT_IDENTIFIABLE,,,1-4,fixed six-stage diagnostic path,no per-iteration memory telemetry,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,checkpoint corruption,NO,,,1-4,fixed six-stage diagnostic path,external SHA256=887b9d330a4c7968268ae564e8f188d7cc8b1b9d6279af8378fc52db58bf32b3,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,reload failure,NO,,,1-4,fixed six-stage diagnostic path,reload_pass=True,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,candidate Pmax lost on reload,NO,,,1-4,fixed six-stage diagnostic path,propagation_pass=True,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,one-site production domination,NOT_IDENTIFIABLE,,,1-4,fixed six-stage diagnostic path,requires long training and OOS distribution,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,excessive early production,NOT_IDENTIFIABLE,,,1-4,fixed six-stage diagnostic path,mechanism signal only at 10 iterations,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,added Pmax almost never used,NO,,,1-4,fixed six-stage diagnostic path,expanded-nameplate use observed=True,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,oscillatory site production,NOT_IDENTIFIABLE,,,1-4,fixed six-stage diagnostic path,single deterministic diagnostic path,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,new inventory imbalance,NOT_IDENTIFIABLE,,,1-4,fixed six-stage diagnostic path,requires long training and OOS,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,Stage7 interface issue,NO,,,1-4,fixed six-stage diagnostic path,analytic TerminalLOH identity and backward interface retained,02_training/*_matlab.log and diagnostics CSV
ARM-B0001,native MATLAB exit/finalizer issue,NO,,,1-4,fixed six-stage diagnostic path,each phase returned zero and external live-resource gate passed,02_training/*_matlab.log and diagnostics CSV
ARM-B1011,model infeasibility,NO,,,1-4,fixed six-stage diagnostic path,all training and diagnostic solves completed,02_training/*_matlab.log and diagnostics CSV
ARM-B1011,hourly grid infeasibility,NO,,1-6,1-4,fixed six-stage diagnostic path,minimum voltage 0.90895471 p.u.; no solve failure,02_training/*_matlab.log and diagnostics CSV
ARM-B1011,new voltage bottleneck,NO,,,1-4,fixed six-stage diagnostic path,binding=False; fresh Base was not retrained,02_training/*_matlab.log and diagnostics CSV
ARM-B1011,new branch bottleneck,NO,,,1-4,fixed six-stage diagnostic path,max utilization=0.758080473,02_training/*_matlab.log and diagnostics CSV
ARM-B1011,substation bottleneck,NO,,,1-4,fixed six-stage diagnostic path,max utilization=0.832082612,02_training/*_matlab.log and diagnostics CSV
