candidate,iteration,iteration_budget,LB,cut_count,cuts_added,forward_objective,elapsed_s,iteration_runtime_s,stage1_production_kg,terminal_recourse_used,terminal_redistribution_kg,terminal_cost_yuan,terminal_residual_gap_kg,K160_binding_count,min_voltage_pu,max_line_utilization,max_substation_utilization,max_htt_utilization,warning
BASE-PMAX-STAGE90B,1,10,7666.68421740672,1051,1051,55243.1597217927,31.826801,31.8267457,120.12,0,0,0,0,0,0.912081659455724,0.682695583126847,0.75334871087103,0,:
BASE-PMAX-STAGE90B,2,10,40792.1537709202,2102,1051,34060.2608720669,80.3465581,47.9288271,90.09,0,0,0,0,0,0.912081659455724,0.682695583126847,0.75334871087103,0,:
BASE-PMAX-STAGE90B,3,10,55127.1209360057,3153,1051,98803.6624129372,128.853515,48.1372043,120.12,1,0,0,0,0,0.912081659455724,0.682695583126847,0.75334871087103,0,:
BASE-PMAX-STAGE90B,4,10,55699.639465744,4204,1051,57586.4754600372,178.6025498,49.4892401,120.12,1,0,0,0,0,0.912081659455724,0.682695583126847,0.75334871087103,0,:
BASE-PMAX-STAGE90B,5,10,56110.0936181088,5255,1051,96684.7808533831,227.0271599,48.1701478,120.12,1,12.0568855823669,142.643290912757,35.2919373100726,0,0.912081659455724,0.682695583126847,0.75334871087103,0,:
BASE-PMAX-STAGE90B,6,10,56705.3039932735,6306,1051,78554.513764305,276.4464514,49.1509699,105.105,1,0,0,0,0,0.912081659455724,0.682695583126847,0.75334871087103,0,:
BASE-PMAX-STAGE90B,7,10,56985.2253287013,7357,1051,9530.71946740672,324.0456253,47.3307942,105.105,0,0,0,0,0,0.912081659455724,0.682695583126847,0.75334871087103,0,:
BASE-PMAX-STAGE90B,8,10,56987.8800056464,8408,1051,58347.9862100372,369.7340087,45.3595425,120.12,1,0,0,0,0,0.912081659455724,0.682695583126847,0.75334871087103,0,:
BASE-PMAX-STAGE90B,9,10,57160.9035800599,9459,1051,9987.31021740672,413.0430983,43.2361476,120.12,0,0,0,0,0,0.912081659455724,0.682695583126847,0.75334871087103,0,:
BASE-PMAX-STAGE90B,10,10,57160.9035800599,10510,1051,9987.31021740672,458.3562835,45.0239247,120.12,0,0,0,0,0,0.912081659455724,0.682695583126847,0.75334871087103,0,:
