state_id,beta,inventory_total_kg,target_total_kg,direct_gap_value_yuan,terminal_recourse_value_yuan,value_reduction_yuan,shipping_cost_yuan,shortage_cost_yuan,redistribution_kg,K_terminal_kg,capacity_slack_kg,K160_binding,residual_gap_kg,min_site_gap_kg,max_site_gap_kg,direct_grad_site1,direct_grad_site2,direct_grad_site3,direct_grad_site4,recourse_grad_site1,recourse_grad_site2,recourse_grad_site3,recourse_grad_site4,dual_l1_change,direct_gap_positive,recourse_shipping_positive,spatial_gap_fully_repaired,quantity_gap_remaining,capacity_binding_check,recomputed_backward_matches_saved
63,0.111428571428571,247.747481134483,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,0.121428571428571,247.747481134483,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,0.131428571428571,247.747481134483,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,0.141428571428571,247.747481134483,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,0.151428571428571,247.747481134483,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,0.161428571428571,247.747481134483,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,0.171428571428571,247.747481134483,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,0.222857142857143,247.747481134483,142.923283799036,5688.63150141956,151.284308791542,5537.34719262802,151.284308791542,0,5.68863150141956,160,154.31136849858,0,0,0,0,0,0,0,-1000,0,0,0,-26.5941481275048,973.405851872495,1,1,1,0,0,1
127,0.242857142857143,247.747481134483,180.565756527925,6779.45909853527,185.282309358142,6594.17678917713,185.282309358142,0,6.77945909853527,160,153.220540901465,0,0,0,0,0,0,0,-1000,0,0,0,-27.3299545974358,972.670045402564,1,1,1,0,0,1
135,0.262857142857143,247.747481134483,156.407515604786,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143,0.282857142857143,247.747481134483,180.836278268755,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,0.302857142857143,247.747481134483,58.1956878968961,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
159,0.322857142857143,247.747481134483,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,0.342857142857143,247.747481134483,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175,0.334285714285714,247.747481134483,374.764778405816,154070.560479715,127892.456081323,26178.1043983922,875.158809989492,127017.297271333,27.0532632083817,160,132.946736791618,0,127.017297271333,0,67.1011298891871,-1000,0,0,-1000,-1000,-969.30635868288,-963.779463001809,-1000,1933.08582168469,1,1,0,1,0,1
183,0.364285714285714,247.747481134483,395.525364721392,162012.524066348,148262.860550053,13749.6635162943,484.976963143968,147777.883586909,14.2346404794383,160,145.765359520562,0,147.777883586909,0,78.3161429296938,-1000,0,0,-1000,-1000,-968.202648977983,-962.477012185093,-1000,1930.67966116308,1,1,0,1,0,1
191,0.394285714285714,247.747481134483,386.765930550231,144669.030690085,139083.130812369,5585.89987771609,64.6813966214453,139018.449415748,5.65058127433753,160,154.349418725662,0,139.018449415748,0,94.2930938290786,-1000,-1000,0,-1000,-1000,-1000,-988.553142857143,-1000,988.553142857143,1,1,0,1,0,1
199,0.424285714285714,247.747481134483,423.861526765183,176114.0456307,176114.0456307,-2.91038304567337e-11,0,176114.0456307,0,160,160,0,176.1140456307,0.895540712138249,78.5576244788366,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,1,0,0,1,0,1
207,0.454285714285714,247.747481134483,316.940731493921,97860.5777296269,70283.2847121023,27577.2930175246,1090.03435266447,69193.2503594378,28.6673273701891,160,131.332672629811,0,69.1932503594378,0,69.1932503594378,-1000,0,0,-1000,-1000,-963.222315651843,-956.900455523495,-998.330795788549,1921.79197538679,1,1,0,1,0,1
215,0.484285714285714,247.747481134483,189.355321263839,15824.707238518,655.79279713204,15168.914441386,655.79279713204,0,15.824707238518,160,144.175292761482,0,0,0,0,-1000,0,0,0,-44.4544702759164,0,0,-6.04630799739807,961.591837721482,1,1,1,0,0,1
223,0.514285714285714,247.747481134483,11.1833565999191,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
231,0.445714285714286,247.747481134483,528.70403454139,280956.553406907,280956.553406907,5.82076609134674e-11,0,280956.553406907,0,160,160,0,280.956553406907,2.53239470435214,123.789945826244,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,1,0,0,1,0,1
239,0.485714285714286,247.747481134483,543.056863022219,295309.381887736,295309.381887736,0,0,295309.381887736,0,160,160,0,295.309381887736,4.16868724585708,139.658330513241,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,1,0,0,1,0,1
247,0.525714285714286,247.747481134483,552.327963649138,304580.482514655,304580.482514655,5.82076609134674e-11,0,304580.482514655,0,160,160,0,304.580482514655,18.8973390344968,132.562378309628,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,1,0,0,1,0,1
255,0.565714285714286,247.747481134483,546.931387620494,299183.906486011,299183.906486011,0,0,299183.906486011,0,160,160,0,299.183906486011,30.1410001895473,130.38144575701,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,1,0,0,1,0,1
263,0.605714285714286,247.747481134483,455.499334558082,207751.853423599,207751.853423599,-2.91038304567337e-11,0,207751.853423599,0,160,160,0,207.751853423599,3.69054938508687,132.561225063746,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,1,0,0,1,0,1
271,0.645714285714286,247.747481134483,332.579156112477,124069.231468305,86571.4165398146,37497.8149284903,1739.74156182097,84831.6749779936,39.2375564903112,160,120.762443509689,0,84.8316749779936,0,84.8316749779936,-1000,0,0,-1000,-1000,-955.844756216734,-948.254738517729,-997.995955422779,1906.10353931168,1,1,0,1,0,1
279,0.685714285714286,247.747481134483,161.875234944923,8045.31036226358,372.241852480606,7673.06850978297,372.241852480606,0,8.04531036226358,160,151.954689637736,0,0,0,0,-1000,0,0,0,-46.2681780713646,0,0,0,953.731821928635,1,1,1,0,0,1
287,0.557142857142857,247.747481134483,573.20602796692,325458.546832437,325458.546832437,0,0,325458.546832437,0,160,160,0,325.458546832437,9.07817712058327,142.620855274559,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,1,0,0,1,0,1
295,0.607142857142857,247.747481134483,586.694476056806,338946.994922323,338946.994922323,0,0,338946.994922323,0,160,160,0,338.946994922323,13.9874447856923,150.15908455776,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,1,0,0,1,0,1
303,0.657142857142857,247.747481134483,631.968194949213,384220.71381473,384220.71381473,0,0,384220.71381473,0,160,160,0,384.22071381473,38.098162372766,165.548418662874,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,1,0,0,1,0,1
311,0.707142857142857,247.747481134483,611.448983160959,363701.502026476,363701.502026476,5.82076609134674e-11,0,363701.502026476,0,160,160,0,363.701502026476,37.9272356610511,163.04822494941,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,1,0,0,1,0,1
319,0.757142857142857,247.747481134483,545.857309476374,298109.828341891,298109.828341891,5.82076609134674e-11,0,298109.828341891,0,160,160,0,298.109828341891,9.07866193200637,171.112126818353,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,1,0,0,1,0,1
327,0.807142857142857,247.747481134483,468.04882227506,226079.097919032,220628.12539397,5450.97252506128,326.78425339301,220301.341140577,5.77775677845428,160,154.222243221546,0,220.301341140577,0,154.655504029671,-1000,0,0,-1000,-1000,-951.909791429512,-943.25035727167,-1000,1895.16014870118,1,1,0,1,0,1
335,0.857142857142857,247.747481134483,346.859686166604,139258.030166579,101259.650025602,37998.3801409773,2147.44499348065,99112.2050321211,40.145825134458,160,119.854174865542,0,99.1122050321211,0,99.1122050321211,-1000,0,0,-1000,-1000,-938.705737645689,-938.705737645689,-988.635462391004,1888.77601290037,1,1,0,1,0,1
