state_id,beta,direct_gap_value_yuan,terminal_recourse_value_yuan,value_reduction_yuan,shipping_cost_yuan,shortage_cost_yuan,redistribution_kg,residual_gap_kg,direct_gap_positive,recourse_shipping_positive,spatial_gap_fully_repaired,quantity_gap_remaining,q_new_minus_q_old_yuan,recourse_explains_direct_gap
63,0.111428571428571,0,0,0,0,0,0,0,0,0,0,0,0,1
71,0.121428571428571,0,0,0,0,0,0,0,0,0,0,0,0,1
79,0.131428571428571,0,0,0,0,0,0,0,0,0,0,0,0,1
87,0.141428571428571,0,0,0,0,0,0,0,0,0,0,0,0,1
95,0.151428571428571,0,0,0,0,0,0,0,0,0,0,0,0,1
103,0.161428571428571,0,0,0,0,0,0,0,0,0,0,0,0,1
111,0.171428571428571,0,0,0,0,0,0,0,0,0,0,0,0,1
119,0.222857142857143,5688.63150141956,151.284308791542,5537.34719262802,151.284308791542,0,5.68863150141956,0,1,1,1,0,-5537.34719262802,1
127,0.242857142857143,6779.45909853527,185.282309358142,6594.17678917713,185.282309358142,0,6.77945909853527,0,1,1,1,0,-6594.17678917713,1
135,0.262857142857143,0,0,0,0,0,0,0,0,0,0,0,0,1
143,0.282857142857143,0,0,0,0,0,0,0,0,0,0,0,0,1
151,0.302857142857143,0,0,0,0,0,0,0,0,0,0,0,0,1
159,0.322857142857143,0,0,0,0,0,0,0,0,0,0,0,0,1
167,0.342857142857143,0,0,0,0,0,0,0,0,0,0,0,0,1
175,0.334285714285714,154070.560479715,127892.456081323,26178.1043983922,875.158809989492,127017.297271333,27.0532632083817,127.017297271333,1,1,0,1,-26178.1043983922,1
183,0.364285714285714,162012.524066348,148262.860550053,13749.6635162943,484.976963143968,147777.883586909,14.2346404794383,147.777883586909,1,1,0,1,-13749.6635162943,1
191,0.394285714285714,144669.030690085,139083.130812369,5585.89987771609,64.6813966214453,139018.449415748,5.65058127433753,139.018449415748,1,1,0,1,-5585.89987771609,1
199,0.424285714285714,176114.0456307,176114.0456307,-2.91038304567337e-11,0,176114.0456307,0,176.1140456307,1,0,0,1,2.91038304567337e-11,1
207,0.454285714285714,97860.5777296269,70283.2847121023,27577.2930175246,1090.03435266447,69193.2503594378,28.6673273701891,69.1932503594378,1,1,0,1,-27577.2930175246,1
215,0.484285714285714,15824.707238518,655.79279713204,15168.914441386,655.79279713204,0,15.824707238518,0,1,1,1,0,-15168.914441386,1
223,0.514285714285714,0,0,0,0,0,0,0,0,0,0,0,0,1
231,0.445714285714286,280956.553406907,280956.553406907,5.82076609134674e-11,0,280956.553406907,0,280.956553406907,1,0,0,1,-5.82076609134674e-11,1
239,0.485714285714286,295309.381887736,295309.381887736,0,0,295309.381887736,0,295.309381887736,1,0,0,1,0,1
247,0.525714285714286,304580.482514655,304580.482514655,5.82076609134674e-11,0,304580.482514655,0,304.580482514655,1,0,0,1,-5.82076609134674e-11,1
255,0.565714285714286,299183.906486011,299183.906486011,0,0,299183.906486011,0,299.183906486011,1,0,0,1,0,1
263,0.605714285714286,207751.853423599,207751.853423599,-2.91038304567337e-11,0,207751.853423599,0,207.751853423599,1,0,0,1,2.91038304567337e-11,1
271,0.645714285714286,124069.231468305,86571.4165398146,37497.8149284903,1739.74156182097,84831.6749779936,39.2375564903112,84.8316749779936,1,1,0,1,-37497.8149284903,1
279,0.685714285714286,8045.31036226358,372.241852480606,7673.06850978297,372.241852480606,0,8.04531036226358,0,1,1,1,0,-7673.06850978297,1
287,0.557142857142857,325458.546832437,325458.546832437,0,0,325458.546832437,0,325.458546832437,1,0,0,1,0,1
295,0.607142857142857,338946.994922323,338946.994922323,0,0,338946.994922323,0,338.946994922323,1,0,0,1,0,1
303,0.657142857142857,384220.71381473,384220.71381473,0,0,384220.71381473,0,384.22071381473,1,0,0,1,0,1
311,0.707142857142857,363701.502026476,363701.502026476,5.82076609134674e-11,0,363701.502026476,0,363.701502026476,1,0,0,1,-5.82076609134674e-11,1
319,0.757142857142857,298109.828341891,298109.828341891,5.82076609134674e-11,0,298109.828341891,0,298.109828341891,1,0,0,1,-5.82076609134674e-11,1
327,0.807142857142857,226079.097919032,220628.12539397,5450.97252506128,326.78425339301,220301.341140577,5.77775677845428,220.301341140577,1,1,0,1,-5450.97252506128,1
335,0.857142857142857,139258.030166579,101259.650025602,37998.3801409773,2147.44499348065,99112.2050321211,40.145825134458,99.1122050321211,1,1,0,1,-37998.3801409773,1
