record_type,iteration,stage,state_id,beta,origin,destination,unit_cost_yuan_per_kg,reported_total_ship_kg,reported_shipping_cost_yuan,implied_mean_unit_cost_yuan_per_kg,flow_lower_bound_kg,flow_upper_bound_kg,cost_lower_bound_yuan,cost_upper_bound_yuan,status,identification_note
PAIR_TOTAL,5,4,199,0.424285714285714,Site2<->Site3,,11.8308571428571,12.0568855823669,142.643290912757,11.8308571428572,12.0568855823669,12.0568855823669,142.643290912757,142.643290912757,IDENTIFIED_UNDIRECTED_PAIR,All saved shipment is on the tied minimum-cost Site2/Site3 pair; direction is not saved.
OD,5,4,199,0.424285714285714,1,2,41.7446186770942,12.0568855823669,142.643290912757,11.8308571428572,0,0,0,0,ZERO_BY_COST_IDENTITY,Any positive flow would make the reported cost exceed the minimum unit cost.
OD,5,4,199,0.424285714285714,1,3,41.7446186770942,12.0568855823669,142.643290912757,11.8308571428572,0,0,0,0,ZERO_BY_COST_IDENTITY,Any positive flow would make the reported cost exceed the minimum unit cost.
OD,5,4,199,0.424285714285714,1,4,36.0668809785216,12.0568855823669,142.643290912757,11.8308571428572,0,0,0,0,ZERO_BY_COST_IDENTITY,Any positive flow would make the reported cost exceed the minimum unit cost.
OD,5,4,199,0.424285714285714,2,1,41.7446186770942,12.0568855823669,142.643290912757,11.8308571428572,0,0,0,0,ZERO_BY_COST_IDENTITY,Any positive flow would make the reported cost exceed the minimum unit cost.
OD,5,4,199,0.424285714285714,2,3,11.8308571428571,12.0568855823669,142.643290912757,11.8308571428572,0,12.0568855823669,0,142.643290912757,TIED_MINIMUM_DIRECTION_UNIDENTIFIABLE,x_ij is bounded by the saved aggregate; the reverse OD has identical cost.
OD,5,4,199,0.424285714285714,2,4,34.0047704318095,12.0568855823669,142.643290912757,11.8308571428572,0,0,0,0,ZERO_BY_COST_IDENTITY,Any positive flow would make the reported cost exceed the minimum unit cost.
OD,5,4,199,0.424285714285714,3,1,41.7446186770942,12.0568855823669,142.643290912757,11.8308571428572,0,0,0,0,ZERO_BY_COST_IDENTITY,Any positive flow would make the reported cost exceed the minimum unit cost.
OD,5,4,199,0.424285714285714,3,2,11.8308571428571,12.0568855823669,142.643290912757,11.8308571428572,0,12.0568855823669,0,142.643290912757,TIED_MINIMUM_DIRECTION_UNIDENTIFIABLE,x_ij is bounded by the saved aggregate; the reverse OD has identical cost.
OD,5,4,199,0.424285714285714,3,4,40.1278894483386,12.0568855823669,142.643290912757,11.8308571428572,0,0,0,0,ZERO_BY_COST_IDENTITY,Any positive flow would make the reported cost exceed the minimum unit cost.
OD,5,4,199,0.424285714285714,4,1,36.0668809785216,12.0568855823669,142.643290912757,11.8308571428572,0,0,0,0,ZERO_BY_COST_IDENTITY,Any positive flow would make the reported cost exceed the minimum unit cost.
OD,5,4,199,0.424285714285714,4,2,34.0047704318095,12.0568855823669,142.643290912757,11.8308571428572,0,0,0,0,ZERO_BY_COST_IDENTITY,Any positive flow would make the reported cost exceed the minimum unit cost.
OD,5,4,199,0.424285714285714,4,3,40.1278894483386,12.0568855823669,142.643290912757,11.8308571428572,0,0,0,0,ZERO_BY_COST_IDENTITY,Any positive flow would make the reported cost exceed the minimum unit cost.
