check,result,detail
branch,PASS,
index_initially_empty,PASS,
existing_cases,PASS,
existing_checks,PASS,
summary_QA,PASS,
nominal_contract,PASS,
time_contract,PASS,
historical_hash:AGENTS.md,PASS,
historical_hash:codex_rule\core.md,PASS,
historical_hash:codex_rule\log.md,PASS,historical log prefix preserved; later append retained
historical_hash:codex_rule\longtask.md,PASS,
historical_hash:codex_rule\OOS_rule.md,PASS,
historical_hash:data\yuanqi\near_stage_msp_input.mat,PASS,
historical_hash:data\yuanqi\stage1_road_edges.csv,PASS,
historical_hash:data\yuanqi\stage1_site_nodes.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\00_report_zh.md,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\analysis_control_card.json,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\analysis_qa.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\audit_metrics.json,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\closeout_source_manifest.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\closure_mask_point_frequency.npz,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\communication_qa.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\data_preservation_qa.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\delivery_qa.json,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\final_closeout.json,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\independent_shortest_path_qa.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\inventory_cohort_path_detail.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\inventory_correlations.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\inventory_quantiles.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\issue_by_issue_result_ledger.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\level_coverage_matrix.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\output_manifest.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\physical_distance_exact_frequency.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\physical_distance_quantiles.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\physical_road_edges.csv,PASS,
