state,intensity,loc,mode,road_only_T1,dual_T1,delta_T1,delta_percent_T1,road_only_T2,dual_T2,delta_T2,delta_percent_T2,road_only_T3,dual_T3,delta_T3,delta_percent_T3,road_only_T4,dual_T4,delta_T4,delta_percent_T4,road_only_T_total,dual_T_total,delta_T_total,delta_percent_T_total
1,2,1,DRO,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1,2,1,SAA,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
2,2,2,DRO,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
2,2,2,SAA,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
3,2,3,DRO,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
3,2,3,SAA,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
4,2,4,DRO,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
4,2,4,SAA,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
5,2,5,DRO,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
5,2,5,SAA,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
6,2,6,DRO,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
6,2,6,SAA,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
7,2,7,DRO,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
7,2,7,SAA,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
8,3,1,DRO,48.90607844627881,63.824487644017545,14.918409197738733,30.50420248707112,13.09221824892455,13.092178781483948,-3.946744060101537e-05,-0.00030145724621003314,8.18267380358933,11.455677405500015,3.273003601910686,39.999194401162406,70.37077943059047,54.55093996803432,-15.819839462556153,-22.480693820024968,140.55174992938316,142.9232837990358,2.3715338696526373,1.687302983309818
8,3,1,SAA,11.455691023647818,11.45569102364782,1.7763568394002505e-15,1.5506326381650332e-14,0.0,0.0,0.0,,0.0,0.0,0.0,,3.273054578185092,3.273054578185091,-8.881784197001252e-16,-2.7136071167888072e-14,14.728745601832909,14.72874560183291,1.7763568394002505e-15,1.2060476074616924e-14
9,3,2,DRO,85.15560402707636,84.28079275323896,-0.874811273837409,-1.027309105293001,19.638352208796608,19.63839545920121,4.325040460173568e-05,0.0002202343869887542,9.819163734635657,21.00480075033511,11.185637015699454,113.91639163978662,61.09724929742699,55.64176756515002,-5.455481732276972,-8.929177327966418,175.71036926793562,180.5657565279253,4.855387259989669,2.7632901121423465
9,3,2,SAA,22.365872950931454,18.54730927638218,-3.8185636745492744,-17.073170731707325,0.0,0.0,0.0,,0.0,0.0,0.0,,11.455691023647818,15.819763794561272,4.364072770913454,38.095238095238095,33.82156397457927,34.36707307094345,0.545509096364178,1.6129032258064404
10,3,3,DRO,85.64636819554602,70.35486735377559,-15.291500841770429,-17.854231491587814,19.638140330485353,24.01839690512782,4.380256574642466,22.30484404800161,9.819165288650808,22.911379008947,13.092213720296193,133.33326546023665,38.185612778785845,39.12287233693548,0.9372595581496341,2.454483481983906,153.28928659346803,156.40751560478589,3.118229011317851,2.0342119665463465
10,3,3,SAA,27.27545481820909,27.54820936639118,0.272754548182089,0.999999999999993,3.545809126367184,2.4547909336388183,-1.0910181927283658,-30.76923076923081,3.818563674549271,3.273054578185091,-0.5455090963641798,-14.285714285714239,16.638027439107546,18.001800180018,1.3637727409104556,8.196721311475416,51.277855058233094,51.27785505823309,-7.105427357601002e-15,-1.3856717192113062e-14
11,3,4,DRO,85.06413504114684,70.87773956351243,-14.186395477634406,-16.67729351597148,43.326140158259825,47.77054488327426,4.4444047250144365,10.258021390274116,9.819163746926195,22.91133885663834,13.092175109712146,133.33289317851063,38.185644056288666,39.27665496533001,1.0910109090413442,2.857123235719444,176.3950830026215,180.83627826875505,4.441195266133548,2.517754571462485
11,3,4,SAA,20.183836565474728,19.092818372746365,-1.091018192728363,-5.405405405405403,6.546109156370182,6.546109156370182,0.0,0.0,4.909581867277637,6.546109156370182,1.6365272890925455,33.333333333333336,16.365272890925453,16.365272890925453,0.0,0.0,48.004800480048004,48.55030957641218,0.545509096364178,1.1363636363636282
12,3,5,DRO,21.932766511485276,19.638331299653128,-2.2944352118321483,-10.461221162549869,9.8191739354298,8.727978055057477,-1.0911958803723234,-11.112909166778703,4.909581669331015,8.182636810913209,3.2730551415821942,66.66668083002241,18.43529992854691,21.64674173127229,3.2114418027253784,17.42006810397745,55.096822044793,58.1956878968961,3.0988658521031027,5.624400350321049
12,3,5,SAA,3.273054578185091,3.273054578185091,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,3.273054578185091,3.273054578185091,0.0,0.0
13,3,6,DRO,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
13,3,6,SAA,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
14,3,7,DRO,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
14,3,7,SAA,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
15,4,1,DRO,157.10657259669154,157.10648585077968,-8.674591185808822e-05,-5.5214693073837054e-05,40.520676659774004,49.91394151094373,9.393264851169725,23.181411628534523,22.911422719905488,31.912611986950207,9.001189267044719,39.286906697524586,150.9530626316618,135.83173905714276,-15.121323574519039,-10.017235365019618,371.49173460803286,374.7647784058164,3.2730437977835436,0.8810542719710808
15,4,1,SAA,146.1964378256007,149.46949240378572,3.2730545781850253,2.238805970149209,33.82156397457927,44.18623680549873,10.36467283091946,30.645161290322598,16.365272890925453,27.82096391457343,11.455691023647976,70.00000000000097,145.65092872923657,127.10361945285436,-18.547309276382208,-12.73408239700376,342.034203420342,348.58031257671223,6.546109156370221,1.913875598086136
16,4,2,DRO,172.38087439588497,168.32149889128638,-4.0593755045985915,-2.3548874077967294,52.36903735552646,60.2781032686581,7.909065913131641,15.102561193626762,22.911356383489274,34.36707295817927,11.455716574689998,50.00016752803596,142.37758872965782,132.55868960326845,-9.818899126389368,-6.896379699921167,390.0388568645585,395.5253647213922,5.4865078568336685,1.4066567369565606
16,4,2,SAA,159.8341652347053,158.74314704197695,-1.0910181927283418,-0.6825938566552763,39.276654938221085,44.18623680549873,4.909581867277645,12.500000000000021,16.365272890925453,29.457491203665818,13.092218312740364,80.00000000000001,142.92338324741561,132.55871041649618,-10.364672830919432,-7.251908396946549,358.39947631126745,364.94558546763767,6.546109156370221,1.8264840182648512
17,4,3,DRO,182.96387494599475,184.29844979067116,1.3345748446764105,0.7294198622926715,88.15409324642867,82.45597478494416,-5.698118461484512,-6.463816087990169,22.91149146030107,34.3670602262326,11.455568765931531,49.999227618074045,91.42746248214011,85.64444574838282,-5.783016733757293,-6.325251272162316,385.4569221348646,386.7659305502307,1.3090084153660655,0.33959914589575496
17,4,3,SAA,171.83536535471725,172.65362899926356,0.8182636445463061,0.47619047619049565,89.46349180372583,79.37157352098842,-10.09191828273741,-11.2804878048781,16.365272890925453,32.45779123366883,16.092518342743375,98.3333333333334,74.18923710552872,76.91678258734964,2.7275454818209255,3.6764705882353166,351.8533671548972,361.39977634127047,9.54640918637324,2.71317829457366
18,4,4,DRO,157.10625024528588,168.5629804404292,11.456730195143308,7.292345261411444,140.79628672897448,132.55898856690476,-8.23729816206972,-5.8505081017698215,30.861039848190824,40.91318221270838,10.052142364517554,32.57227369513553,76.91681730772001,81.82637554514085,4.909558237420839,6.382945120803997,405.6803941301712,423.8615267651832,18.181132635012034,4.481639462512017
18,4,4,SAA,137.46829228377382,137.19553773559164,-0.2727545481821778,-0.19841269841276163,132.55871041649618,129.8311649346752,-2.7275454818209823,-2.057613168724335,24.002400240024002,32.730545781850964,8.728145541826962,36.36363636363658,67.64312794915854,65.1883370155198,-2.4547909336387335,-3.6290322580643912,361.6725308894526,364.9455854676376,3.273054578184997,0.9049773755655847
19,4,5,DRO,168.7391496264098,169.26816371710586,0.5290140906960517,0.3135099897488486,46.72582572604259,50.75501685972449,4.029191133681898,8.623049611376333,18.001607116891318,29.457472476362053,11.455865359470735,63.638014567718436,71.28470426163564,67.46007844072838,-3.824625820907258,-5.365282581337178,304.75128673097936,316.9407314939208,12.189444762941434,3.9998009175599396
