state_id,intensity,loc,lfw,eta,T1_kg,T2_kg,T3_kg,T4_kg,TerminalLOH_total_kg,TERMINALLOH_VERSION,MODE,STATE_COUNT,SITE_COUNT,ADOPTED_DRO_ETA,TANK_CAP_KG,SOURCE_STAGE,SOURCE_RUN
1,2,1,0,0.03,0.0,0.0,0.0,0.0,0.0,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
2,2,2,0,0.03,0.0,0.0,0.0,0.0,0.0,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
3,2,3,0,0.03,0.0,0.0,0.0,0.0,0.0,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
4,2,4,0,0.03,0.0,0.0,0.0,0.0,0.0,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
5,2,5,0,0.03,0.0,0.0,0.0,0.0,0.0,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
6,2,6,0,0.03,0.0,0.0,0.0,0.0,0.0,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
7,2,7,0,0.03,0.0,0.0,0.0,0.0,0.0,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
8,3,1,0,0.03,63.824487644017545,13.092178781483947,11.455677405500015,54.550939968034314,142.9232837990358,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
9,3,2,0,0.03,84.28079275323896,19.638395459201206,21.00480075033511,55.64176756515002,180.5657565279253,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
10,3,3,0,0.03,70.35486735377559,24.01839690512782,22.911379008946998,39.12287233693548,156.40751560478589,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
11,3,4,0,0.03,70.87773956351243,47.77054488327426,22.91133885663834,39.27665496533001,180.83627826875505,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
12,3,5,0,0.03,19.638331299653128,8.727978055057477,8.182636810913209,21.64674173127229,58.1956878968961,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
13,3,6,0,0.03,0.0,0.0,0.0,0.0,0.0,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
14,3,7,0,0.03,0.0,0.0,0.0,0.0,0.0,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
15,4,1,0,0.03,157.10648585077968,49.91394151094373,31.912611986950207,135.83173905714276,374.7647784058164,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
16,4,2,0,0.03,168.32149889128638,60.2781032686581,34.36707295817927,132.55868960326845,395.5253647213922,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
17,4,3,0,0.03,184.29844979067113,82.45597478494416,34.3670602262326,85.64444574838282,386.7659305502307,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
18,4,4,0,0.03,168.5629804404292,132.55898856690476,40.91318221270838,81.82637554514085,423.86152676518316,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
19,4,5,0,0.03,169.26816371710586,50.75501685972449,29.457472476362053,67.46007844072838,316.9407314939208,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
20,4,6,0,0.03,105.8300632001106,19.63841766505301,22.911358148697754,40.97548224997815,189.3553212638395,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
21,4,7,0,0.03,3.2730501418122198,0.0,0.0,7.910306458106844,11.183356599919064,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
22,5,1,0,0.03,213.67250824040363,99.82923580320612,42.55003620492227,172.65225429285837,528.7040345413903,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
23,5,2,0,0.03,229.66368647483338,96.28484127796864,44.18632874642721,172.92200652298985,543.0568630222191,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
24,5,3,0,0.03,222.56773427122053,130.10390228078654,58.91498053506694,140.741346562064,552.3279636491379,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
25,5,4,0,0.03,220.3868017186024,137.4078320133077,70.1586416901174,118.97811219846659,546.9313876204942,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
26,5,5,0,0.03,222.56658102533873,72.55272459079237,44.18626274628781,116.19376619566334,455.49933455808224,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
27,5,6,0,0.03,181.1105317256639,39.276655049707735,30.365605166256646,81.82636417084827,332.57915611247654,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
28,5,7,0,0.03,98.05066632385615,13.09226619348058,18.0016621128455,32.73064031474119,161.87523494492342,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
29,6,1,0,0.03,223.6535388617262,108.97350674286635,49.0958186211534,191.48316374117374,573.2060279669197,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
30,6,2,0,0.03,240.16444051935298,104.04990290174926,54.00508628626244,188.4750463494415,586.6944760568061,Stage89K,DRO,35,4,0.03,"[300,200,100,200]",Stage89K,run-002
