state_id,a0,loc0,lfw0,T1,T2,T3,T4,T_total,objective,empirical_expected_recourse,solver_status,grouped_bank,q_sum,p_equals_q,duration_qa,inventory_qa,cost_qa
1,2,1,0,0.0,0.0,0.0,0.0,0.0,158.85333333333259,158.85333333333335,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-001_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
2,2,2,0,0.0,0.0,0.0,0.0,0.0,198.08833333333243,198.08833333333337,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-002_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
3,2,3,0,0.0,0.0,0.0,0.0,0.0,277.9233333333321,277.92333333333335,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-003_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
4,2,4,0,0.0,0.0,0.0,0.0,0.0,247.16999999999948,247.17000000000002,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-004_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
5,2,5,0,0.0,0.0,0.0,0.0,0.0,100.70666666666659,100.70666666666665,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-005_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
6,2,6,0,0.0,0.0,0.0,0.0,0.0,18.2,18.199999999999996,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-006_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
7,2,7,0,0.0,0.0,0.0,0.0,0.0,22.983333333333324,22.98333333333334,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-007_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
8,3,1,0,6.546109156370181,0.0,0.0,4.909581867277637,11.455691023647818,3774.333071324646,3401.7783333333327,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-008_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
9,3,2,0,12.273954668194092,0.0,0.0,12.27395466819409,24.54790933638818,4661.083248076272,3862.7516666666666,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-009_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
10,3,3,0,22.911382047295636,0.0,1.6365272890925455,13.910481957286637,38.458391293674815,4421.031144208218,3170.311666666666,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-010_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
11,3,4,0,13.910481957286638,4.909581867277637,4.091318222731363,16.365272890925453,39.27665493822109,4912.710530254961,3635.379999999999,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-011_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
12,3,5,0,2.863922755911955,0.0,0.0,0.0,2.863922755911955,2181.8920178311146,2088.7533333333326,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-012_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
13,3,6,0,0.0,0.0,0.0,0.0,0.0,702.5200000000215,702.52,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-013_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
14,3,7,0,0.0,0.0,0.0,0.0,0.0,81.11833333333341,81.1183333333333,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-014_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
15,4,1,0,109.78370564329165,38.0492594714016,22.911382047295717,104.73774650192286,275.4820936639118,12858.871080267283,3899.8166666666657,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-015_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
16,4,2,0,126.96724217876326,44.18623680549873,23.184136595477728,111.96574202874834,306.30335760848806,14273.28739915107,4311.883333333333,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-016_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
17,4,3,0,145.2417969069634,60.6878869705153,22.911382047295636,85.91768267735861,314.758748602133,14787.353277191898,4550.9683333333305,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-017_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
18,4,4,0,130.10391948285738,81.82636445462731,24.547909336388184,75.68938712053016,312.16758039440305,14588.541610265724,4436.424999999999,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-018_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
19,4,5,0,99.82816463464526,25.911682077298636,17.183536535471728,46.64102773913755,189.56441098655316,9771.31721199896,3606.4233333333327,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-019_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
20,4,6,0,32.457791233668814,6.546109156370182,7.364372800916454,19.092818372746365,65.46109156370181,5362.720883758134,3233.836666666666,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-020_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
21,4,7,0,0.0,0.0,0.0,0.0,0.0,1143.1466666666754,1143.1466666666663,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-021_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
22,5,1,0,165.1528789242559,85.37217358099488,32.04865941139522,140.19583776559463,422.7695496822406,24269.09890208396,10520.055000000004,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-022_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
23,5,2,0,179.33611542972497,77.73504623189595,35.185336715489726,151.65152878924238,443.908027166353,30138.674430512918,15702.178333333326,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-023_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
24,5,3,0,190.9281837274636,97.78250552327964,36.82186400458226,124.10331942285136,449.6358726781769,31678.996799508543,17056.223333333328,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-024_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
25,5,4,0,180.8362654447262,105.01050105010489,44.7317459018629,105.14687832419601,435.72539072088995,28776.08390337074,14605.698333333336,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-025_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
26,5,5,0,169.65332896926049,47.05015956141074,28.63922755911954,90.82726454463631,336.1699806344271,19454.2624898847,8521.554999999998,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-026_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
27,5,6,0,119.7392466519379,27.002700270027,20.45659111365682,57.55120966642119,224.74974770204292,11302.645812019859,3993.476666666665,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-027_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
28,5,7,0,24.27515478820609,3.9549409486403206,8.046259171371677,15.547009246379183,51.82336415459727,4755.321671864657,3069.955,OPTIMAL,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\partial_temporal_refinement\grouped_bank_3p5h\state-028_six_segment_grouped.mat,1.0,PASS,PASS,PASS,PASS
