"version_id","version_name","6h_aggregate","8h_stage","hourly_IEEE33","hourly_H2_demand","hourly_HTT","original_hourly_demand","Stage7_TerminalLOH","Stage88_TerminalLOH","Site4_CAP200","Pearson_DRO","checkpoint_save","clean_process_reload","OOS","multi_initial_loc_OOS","current_candidate"
"W07","Step04B Pearson solver","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NO","NO","YES","N/A","N/A","N/A","N/A","NO"
"W10","Stage53 TerminalLOH","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NO","NO","YES","N/A","N/A","N/A","N/A","NO"
"M00","legacy aggregate MSP","YES","NO","NO","NO","NO","NO","YES","NO","NO","PARTIAL","PARTIAL","NO","YES","NO","NO"
"M02","Stage56 dual loader smoke","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO"
"M03","Stage57 fixed-budget","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","YES","NO","YES","NO","NO"
"M04","Stage71 8h sensitivity","PARTIAL","YES","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","PARTIAL","NO","NO"
"M06","Stage79 hourly grid failed","NO","YES","YES","NO","NO","NO","YES","NO","NO","PARTIAL","NO","NO","NO","NO","NO"
"M07","Stage80 hourly grid","NO","YES","YES","NO","NO","NO","YES","NO","NO","PARTIAL","NO","NO","NO","NO","NO"
"M08","Stage81 short training","NO","YES","YES","NO","NO","NO","PARTIAL","NO","NO","PARTIAL","YES","NO","PARTIAL","NO","NO"
"M09","Stage82 terminal fix","NO","YES","YES","NO","NO","NO","YES","NO","NO","PARTIAL","NO","NO","NO","NO","NO"
"M10","Stage84 formal hourly grid","NO","YES","YES","NO","NO","NO","YES","NO","NO","YES","YES","PARTIAL","YES","YES","NO"
"M12","Stage84B common OOS","NO","YES","YES","NO","NO","NO","YES","NO","NO","YES","YES","PARTIAL","YES","YES","NO"
"M15","Stage85B hourly H2","NO","YES","YES","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO"
